Index,User_ID,Content,IP
1,丨评论区有很多野怪,大学时有段时间迷恋打麻将，后来打的多了总结出了公式，瞬间感觉念头通达，然后再也不想玩了[doge],江苏
2,亡环上的晨星,"贝叶斯公式其实是非常好推导的，假设有两件事件A，B。那么首先，两件事件同时发生的概率P(A,B)可以认为事件A发生了的情况下，事件B也发生的概率。 即P(A,B)=P(A)*P(B|A)。 P(A)是A发生的概率，P(B|A)是A发生的条件下事件B发生的概率 另一方面反过来，将A，B地位调转也是成立的 P(A,B)=P(B)*P(A|B) 将两等式联立，就可以获得贝叶斯公式。",广西
3,真人不死,贝叶斯公式的原理是在现实生活中要得到大量统计得到了一个概率，然后和旧概率的比值，推算出下一步符合现实生活的概率。 也就是先知道前人的结果，在根据以往的公式，演算出下次最可能的发生的事件。 经典概率统计是认为概率是不变的，但是现实中往往概率极难统计，因为生命总会放大最符合自己的利益的概率，所以概率随时变化不能固定。 比如说，一个硬币正常情况下，是50%几率，但是如果你连续抛10次都是正面，如果安装经典概率，下一次概率正面是50%。而根据贝利斯公式，下次概率出现正面几率是90%以上，因为现实中，我们早已经认为这个硬币被动过手脚，让正面出现的几率非常高，概率根本不是50%，甚至100%都是正面或者两面都是正面图像。,广西
4,路人甲官方账号,高考不考贝叶斯，但是实际应用，人教版课后材料阅读那个开箱子的例子简直颠覆我的想象,浙江
5,账号已注销,贝叶斯不是高中课本上的玩意儿吗[tv_目瞪口呆]犹记得当年学这东西老师讲了两节课我都没听懂，同桌一句AB=A*B/A=B*A/B点醒梦中人，233,福建
6,茅山盗士,由“上帝是存在的”计算出“上帝存在的概率是67%”，这不就是用错误的条件推断出任何结论都有可能吗[笑哭],广东
7,天赋是神,科学的信徒在狂热瞻仰伟人的光辉，愚昧的学生为手打朴素贝叶斯分类器愁秃了头发。,美国
8,罗氏集团董秘,直接假设上帝存在100% 然后我就是上帝 不用论证了,上海
9,记忆里的猫,省流：不懂贝叶斯公式的看了还是不懂,陕西
10,账号已注销,对于一个毫无证据存在的东西， 一上去就给个0.5的存在几率，不就是错了吗? 那奥特曼，哥斯拉，都可以推出67%的存在可能 [滑稽][滑稽][滑稽][滑稽][滑稽][滑稽][滑稽][滑稽],四川
11,少年捷豹,0.67这个概率挺微妙。有篇科幻描写：有办法让0.5的概率变0.618进而变1，它暗示，只要大于0.5，有办法趋近必然。[doge],浙江
12,浮生游梦yume,两个独立事件间的概率P（A|B）=P(A)。 而P（B|A）=P（B）如果AB相互影响，则贝叶斯。贝叶斯公式用人话说就是两个非独立事件 当B发生时，去掉被B影响的A出现的概率。 人话也挺复杂的，举个简单的例子比如福州2023质检题。求飞机飞往各地的概率。 独立事件我也举个例子，当你1月1出生的时候，问我1月1出生的概率。,福建
13,账号已注销,大胆假设，小心求证，笑死 我没学过贝叶斯怎么和他一模一样哈哈哈哈,Unknown IP
14,万卷假书生,请细说麻将的概率，那个五条被一笔带过了！直到我看完都没看到那个五条到底什么概率。他们都讨论上帝去了，我还是想问问那个五条自摸的概率[doge],湖南
15,平原上的狍子,真的，高中数学可能在高数人眼里简单的很，但是不能否认它的至关重要,吉林
16,Murry27,明天要考统计的高中牲看的精精有味[脱单doge],山西
17,浮云丶d,据说现在的科学就是基于贝叶斯主义[doge],广东
18,账号已注销,很多人不明白，概率并非一个定值，而是趋向于一个值。频率派是对的，但它只是一个动态的答案。,重庆
19,江南书枭,所以我们现在写的概率论教材是统计学派还是贝叶斯学派？这个公式不是也在学吗,浙江
20,痛苦的聚会,贝叶斯公式靠猜猜出一个结果，但结果具体对不对还得靠频率算法来验证，不然没法确认它到底真不真,日本
21,三葉minions,Skeptics雜誌的Michael Shermer便根據同樣公式，計算得到上帝存在的機率只有2%。,中国台湾
22,特罗姆瑟的暧昧,因为正向概率的计算，除了为未知事物提供参照样本，似乎不太具备实用性，所以，才有了贝叶斯定理这样的逆向概率。它不基于客观的数值，而是主观的臆断，就像人脑一样没有掌握任何客观证据，只是凭借一次又一次的实际结果进行考量，排除错误率更高的可能，然后不断修正之前的判断（这样说是不是能好理解一点）,陕西
23,压缩文渐,[蛆音娘_偷看]贝叶斯公式和卷积有关系吗,山东
24,Consty子椰,这个贝叶斯理论猛就猛在能实现概率大反推。ai绘画的扩散模型，就是用bayes公式从雪花图反推出清晰图像。,江苏
25,羹丨,弄巧成拙还是故意凡尔赛，虽然很想弄明白这个什么叶，被你这么一讲感觉更难了。,湖北
26,最爱若叶,弟啊你这上帝是否存在的论文只要加入天文学相对论再来个量子力学因素存在概率不就无限低了么。 宗教这玩意总说自己的神啥都懂，结果天文学那关都过不了，说是神但这神展示的学识怎么和编书的神棍一个样的，怎么绘世呢？,广东
27,JIEdear_,高中数学贝叶斯是选讲，但事实是一模统考考了，哈哈哈，还是得学,江苏
28,無言是小白,好看不火（X） 能者先赏（√）,广东
29,CsAu金化铯,有没有可能，上帝存在的概率是2/π或是e/π[doge],浙江
30,账号已注销,你快告诉我怎么打麻将啊喂[辣眼睛],江苏
31,小叮当猜猜我是谁,搞统计的基本全都在搞贝叶斯 mcmc,美国
32,萧瑟起悲歌,2/3不就是三门问题的答案吗 细思极恐,湖北
33,NickCarraway29,贝叶斯期中考试刚刚出分,北京
34,龙崎小薰,亲爱的陌生人，愿你一生平安幸福，健康快乐！[给心心][给心心][给心心],江西
35,ty大仙,贝叶斯网络吧，厉害的一批，万事万物都可以组网，然后学习关系，进一步，将近无限的时间序列数据一上，数据驱动模型能力得以施展。比贝叶斯更牛逼的是随机过程，直接给出方差期望，给出不确定性的定量分析。在这基础上衍生出的MCMC抽样方法，同样实操牛逼。以上在参数学习上会有瓶颈，因为超大矩阵的可逆运算是n的三次方时间消耗，所以，一旦学习瓶颈突破，预言贝叶斯将会有更大发展,英国
36,非洲第一剑魔,《贝叶斯的博弈》yyds,陕西
37,伊泽瑞尔Felix,你的视频，信息量很大，但只适合听个乐，不适合听得懂，都是一句带过，没有讲明原理,安徽
38,艺术鉴赏者安卡,感谢概率论让我学会了抽卡死路一条[大哭],新疆
39,超超超爱吃荷包蛋,卧槽 上海市闵行区数学教研员是不是看了这个视频出的题，开头太有内味了,上海
40,真正的MAN9,刚开始复习概率论首页就推贝叶斯公式,吉林
41,wallsgalaxy,[思考]这是本书的结论，书名是《The Probability of God: A simple calculation that proves the ultimate truth》。,土耳其
42,知路常乐,能用来炒股吗[doge],河南
43,-Weh-,由果推因 因果一体,陕西
44,ForceAres,贝叶斯神经网络折磨王,江苏
45,黑色玛莎拉,上帝:[疑惑],四川
46,cmj9092,朴素贝叶斯分类器例子中，如何区分B、C、D、E的边界(举个例子，为什么B是大于50万，而不是大于40万或大于30万?),浙江
47,世界第一时百谷殿下,梦回高中数学[笑哭],江苏
48,瓜子0v0,[微笑]数学的存在是为了让我拥有更好的睡眠质量。。。,广东
49,坐看云起时61,你要记住，无论最后我们疏远成什么样子                          一个红包， 就能回到当初。,湖南
50,后期英雄-郑义德同学,关于抗原检测准确率的解释不准确，应该为：真阳测阳+真阴测阴。 小伙伴们注意到了吗？[热词系列_知识盲区],内蒙古
