Index,User_ID,Content,IP
1,耐心资本减持公告,问下，这个是完整视频么，看P1说是三大模块，第一要介绍Python快速入门，但P2就直接是金融时间序列分析，看不懂啊,北京
2,不吃酥怎么能行,我想问一下双均线策略删除缺失值应该放在哪里比较合适啊，因为如果窗口过长的话，前面不就都是nan，这样算出来的数据还准确吗[藏狐],广东
3,子小宝井马,已三连，求完整视频,上海
4,青夏离离,已三连，求分享,北京
5,奔跑的小骚猪,已三连，求资料!!,江西
6,静檀汀芷,已三连求资料！,上海
7,十七八岁的年轻人,三连，求资料~~谢谢~,广东
8,一条快乐的黄瓜,已三连，求数据代码和完整视频,广东
9,小铭丸子,已三连，求资料和代码！,上海
10,麻辣个Biubiu,已三连，求数据代码和完整视频。谢谢 [给心心],上海
11,单人聆听世界,已三连，求完整视频,山东
12,-知施粪纸-,已三连，求数据，想长期学习,内蒙古
13,gzwaltz,已三连，求数据代码和完整视频。谢谢,广东
14,yjwdsg,已三连，求,湖南
15,XC_Song,三联咯，求资料学习,广东
16,wolverene9,已三联，求资料,湖南
17,hjhovovo,已三连，求数据代码和完整视频,广东
18,吃八个土豆的狐狸,已经三联 求数据和代码,湖北
19,vercrtti,已三连求数据代码[呲牙],上海
20,吹笛的猫君,已三连，求数据代码和资料！感谢！,上海
21,暖树du,已三连，求资料,广东
22,coijrog,已三连，求学习资料和代码,福建
23,ychl1502,已三连，求资料,上海
24,jamessivp,已三连，求数据代码和完整视频,陕西
25,哈喽多岁的,已三连，求清晰资料,上海
26,123MIT,已三连，求资料和代码。。。,北京
27,Zhang994034,已经三联 求数据和代码[惊喜],四川
28,babyCody,为什么很多教程都是这个声音 ？  是同一个老师吗？[妙啊][妙啊][妙啊][妙啊][妙啊][妙啊],四川
29,Fernando929,请问这个是不是需要先去学学Python的基础内容后再来听这个,河南
30,这个辅助不太笨,已经三联 求数据和代码,广东
31,太阳的光芒1,已三连，求资料,上海
32,杀神昊ol,已经三联 求数据和代码,美国
33,王育本对对对,已三连，求[星星眼][星星眼][星星眼],湖北
34,GalaxyHunter,已三连，求,浙江
35,鬱清大魔王,已三连，求大佬资料，感谢！[脱单doge],广东
36,jack85,已三连，求,四川
37,杨敏迪,已三连，求,上海
38,黯月光,已三连，求,浙江
39,Cantabile_vln,已三连 求资料@Python数据分析__,广东
40,程序媛-小美,[星星眼]up回归啦~ 各位宝子们，视频配套资料+AI精选资料包已重新给大家打包好[打call] 放在→：https://www.bilibili.com/read/cv44670256/?opus_fallback=1 有需要的宝子请自取哦[奶茶干杯]~,湖南
41,ccuic123,已经三联 求数据和代码,北京
42,当窗外有了月,已三连求原码,贵州
43,小小鸟vov,求资料,青海
44,追逐2480,已三连，求资料,山西
45,手充的钱与我何干,已三连，求数据代码,湖北
46,bili_66152669303,已三连，求资料,上海
47,黑白旋风小子,已三连，求资料,广东
48,bili_698616844,已三联 求,浙江
49,仓央Yu然,已三连，求数据代码和完整视频,广东
50,从零开始的1世界,已三连，求数据代码和完整视频,广东
