Index,User_ID,Content,IP
1,方程芒果,开始学习[打call],天津
2,特洛伊雪,UP主加油！已关三连~,浙江
3,暮紫白,已三连求资料,云南
4,头头超帅,已关三连,吉林
5,长线小白龙,UP主加油！看好你噢~,Unknown IP
6,越战越song,已关三连,重庆
7,喜欢习惯66,UP主加油！看好你噢~,Unknown IP
8,哈哈镜中静,UP主加油！看好你噢~,Unknown IP
9,阿韦哥,UP主加油！看好你噢~,Unknown IP
10,张老师365954496,已三连，求资料,江苏
11,躺平废物哥,已关三连,浙江
12,liverpoolfansfdy,UP主加油！看好你噢~,Unknown IP
13,东临碣石2027,UP主加油！看好你噢~,Unknown IP
14,Feuerwezk,己关三连,河南
15,蔡恩贞长得像刘亦菲,这是把高等数学又讲了一遍,河北
16,情绪不由己v4,己关三连求资料,湖南
17,广东高等数学讲解,UP主加油！已关三连~,广东
18,三岁杠杠,UP主加油！已关三连~,广东
19,Bizhbibi,初中水平可以学吗,江苏
20,深夜加油,已关三连，跪求课件资料,福建
21,草莓雪糕2016,已关三连,广东
22,45725589378_bili,已三连,广西
23,Bianwy025,太棒了，课程好系统，希望多保留一段时间，便于学习。 已关三连。,江苏
24,孤逸悠然,已关三连,湖南
25,bili_24364633755,已关三连  求资料,山东
26,ngnono55,三连求资料,广东
27,不黯凡尘,第1小时01分25秒，有错误呀,北京
28,大伟子1215,全是干货，已经三连了加关注了，求资料包，谢谢老师,广东
29,一代天骄辰战,已关三连,江苏
30,是王栋瑞,已三连求资料,四川
31,王浩鹏8787,已三联,内蒙古
32,还剩八个,已关三连,上海
33,Megumisaikou_,已三连求资料,浙江
34,洲X,已三连求资料,广东
35,量子喵学家,第五个视频开始，换了老师吧？ 感觉新老师实力强了不少。,重庆
36,心灵极盗,三连求资料,北京
37,小白DCL,UP主加油！已关三连~,浙江
38,量子喵学家,[呲牙][呲牙][呲牙],重庆
39,暮紫白,求，跪求课件资料，已经三连了,云南
40,Joexiake,现在越来越喜欢数学了🧮,江苏
41,但但丁丁真真是俩个人,是考研用的,广东
42,意识空间里的琪琪,期待,Unknown IP
43,io00,UP主加油！看好你噢~,Unknown IP
44,熊大旺旺,UP主加油！看好你噢~,Unknown IP
45,学术小白虫,Good,辽宁
46,多伴是肺热,这个声音好熟悉，不会是hk老师吧[doge_金箍],湖南
47,profhxf,加油！,江苏
