Index,User_ID,Content,IP
1,GPT中英字幕课程资源,配套（请复制后用百度网盘APP打开），链接：https://pan.baidu.com/s/1P47hWTr5LDSgwAc5bOVTJQ?pwd=w6jc  提取码：w6jc  --来自百度网盘超级会员V3的分享,江苏
2,Pribnow_,Wharton？Caroline Channing[doge],广东
3,提瓦特理塘ikun刘保国,竟然转Kartik的课 我去告诉他[doge],美国
4,Lofi_time,AI Applications in People Management University of Pennsylvania 成绩： 81%  AI Applications in Marketing and Finance University of Pennsylvania 成绩： 89.37%  AI Fundamentals for Non-Data Scientists University of Pennsylvania 成绩： 85.55%  没办法贴图，只能COPY文字。但我想这是对UP主最好的感谢。,北京
5,灵魂追不上,我的宝藏你千万别被下 寒假就开始学[打call],辽宁
6,深浅布宜,谢谢，计划6天看完，每天3小时，平均一下就是每天23P，今天P1-P24✓ 明天继续加油[打call],陕西
7,hoyofesta,你在 av918872533 中请求的视频总结如下： 一、商业人工智能的课程内容，包括人工智能的业务用例、战略框架和机器学习等方面的讨论，以及数字化转型的重要性。 00:23 - AI被视为数字化转型的下一阶段 01:08 - 人工智能是让计算机做需要人类智能的事情，例如理解语言推理、导航、物理世界学习等 02:26 - 少数坚持下来的公司长期受益显著，而那些没有投资云计算的公司付出了代价 二、人工智能作为通用技术的潜力，并探讨了机器学习作为其中的一个重要子领域。研究表明，机器学习工作分布在许多不同的行业中，具有广泛的应用前景。 03:02 - 移动计算帮助创造了类似的变化 04:34 - 研究人员观察了人工智能是否显示出作为通用技术的前景 05:56 - 机器学习工作可以在许多不同的行业中看到 三、机器学习在不同行业中的应用，以及它对这些行业的影响和变革性影响。管理者需要对技术有耐心，并进行必要的改变。 06:01 - 机器学习在多个行业都有应用，如教育服务、制造业、金融服务等。 06:18 - 多个行业从机器学习中看到了价值，研究人员发现制造业等行业也需要与机器学习相关的研究工作。 07:45 - 管理者需要了解机器学习及其应用，需要对商业模式、技术基础设施、组织过程和文化进行重大变革。 --本内容由AI视频小助理生成,上海
8,ianbay,看完了，我的咖喱味英语已经炼成，说的内容是一点没记住[doge],安徽
9,MM10101,机器学习及不同类型的机器学习  1，机器学习，人工智能的一个子领域。通常用于预测。  2，机器学习的一种方法：根据监督式技术，无监督技术和强化学习技术来看机器学习。  3，监督式学习，是基于过去数据构建预测模型的思想，并且这些数据有明确标记的输入（特征）和输出（目标）数据。  4，无监督技术，有大量输入数据，但输出没有明确的标签，因此这些技术是在输入数据中寻找模式。  5，强化学习，是一种机器学习系统通过采取行动并观察数据来学习和改进其未来行动的思想。,广东
10,这个人很神秘431477,[脱单doge]感恩的心,天津
11,jw2020,Coursera有这课吗[doge],广东
12,步步高练腹机,nice~,上海
13,dissolve溶解,还没开始精看，礼貌问下，这个课程是适合给技术人员看的，还是给非技术人员看的，还是给夹心层人员看的[笑哭],福建
14,smallballAS,等我交了毕业论文就开始学[doge],日本
15,莉絲呀,感谢博主，好人一生平安[星星眼],英国
16,MM10101,数据基础设施  1，数据仓库database 2，数据库管理系统DBMS 3，数据仓库，一种特殊的DBMS，一是存储特定类型数据（比如企业历史数据），一是专业分析。 4，普通数据库用于运营（强调反应快速），数据仓库用于分析（强调专业完整），两者用途分离。 5，数据仓库的工作方式：通过ETL（抽取，转换和加载）从企业分离储存点（比如CRM，ERP等）得到所需数据，由此即可构建报告和数据可视化工具。 6，数据仓库的价值：a.企业所有数据的单一访问点；b.帮助将运营和分析分离。 7，大数据工具：Hadoop，Spark（主用于存储和处理），可将海量数据分布式存储在多台计算机或多个节点上，后做分布式处理，尽可能并行计算及数据处理。,广东
17,hoyofesta,你在 av918872533 中请求的视频总结如下： 一、商业人工智能的课程内容，包括人工智能的业务用例、战略框架和机器学习等方面的讨论，以及数字化转型的重要性。 00:23 - AI被视为数字化转型的下一阶段 01:08 - 人工智能是让计算机做需要人类智能的事情，例如理解语言推理、导航、物理世界学习等 02:26 - 少数坚持下来的公司长期受益显著，而那些没有投资云计算的公司付出了代价 二、人工智能作为通用技术的潜力，并探讨了机器学习作为其中的一个重要子领域。研究表明，机器学习工作分布在许多不同的行业中，具有广泛的应用前景。 03:02 - 移动计算帮助创造了类似的变化 04:34 - 研究人员观察了人工智能是否显示出作为通用技术的前景 05:56 - 机器学习工作可以在许多不同的行业中看到 三、机器学习在不同行业中的应用，以及它对这些行业的影响和变革性影响。管理者需要对技术有耐心，并进行必要的改变。 06:01 - 机器学习在多个行业都有应用，如教育服务、制造业、金融服务等。 06:18 - 多个行业从机器学习中看到了价值，研究人员发现制造业等行业也需要与机器学习相关的研究工作。 07:45 - 管理者需要了解机器学习及其应用，需要对商业模式、技术基础设施、组织过程和文化进行重大变革。,北京
18,狗026,感谢up[打call],北京
19,SaintNikki,up主真的好人！先收藏 考完期末考来看[星星眼],上海
20,嘟嘟1004,非常好，感谢博主,陕西
21,浮生非梦,这是哪年的课程呀,吉林
22,吃起来像肉,2025年十月考古 基础构建依然非常实用，适合每一位学习或者打工或者创业有些飘了或者迷茫的人，回来沉淀一下新时代的基础逻辑,四川
23,jancyjian,感谢,广东
24,MM10101,机器学习  1，人工智能 开发能够执行通常需要人类智能的任务的计算机系统。（人类智能，比如理解语言，推理，语音识别，决策…） 很多种类的AI，弱AI和强AI  2，弱AI，人工侠义智能，在一个非常具体的任务上非常擅长的AI。（如某只擅长围棋的AI）  3，强AI，能够执行人类所能做的所有智能事物的计算机程序。超级智能。  4，人工智能的起源：图灵之问～机器能思考吗；图灵测试；达特茅斯会议；IBM～深蓝～国际象棋计算机（无机器学习）；IBM Watson（开始有机器学习）；谷歌 Alphago；（知识工程或专家系统，规则，隐藏规则）,广东
25,一枝打油诗,伟大的up！！！感谢你！！,湖南
26,mowrp,已三连[打call][打call]up加油,四川
27,barryzh,感谢!,北京
28,爱野美奈子99,[喜欢][喜欢][喜欢],福建
29,nothxxg,感谢您[打call],四川
30,Canneberge,菩萨，你是菩萨,黑龙江
31,叶九咲,投币了 菩萨。。,北京
32,账号已注销,你是我的英雄,广东
33,cicibaby0708,感谢博主！！！！,北京
34,吃着火锅唱着歌的小唐,谢谢楼主[星星眼][星星眼],辽宁
35,W与神同在,好人！[打call],广西
36,卜卜星艾丽,感谢博主大好人,江苏
37,skikevin,谢谢！,北京
38,五道口美食家,想学,北京
39,Staccyever,希望别下架，别逼我求你,广东
