Index,User_ID,Content,IP
1,凡人修AI,第9集缺失部分可以参考期末复习课 https://www.bilibili.com/video/BV1Lk4y1x7AE?p=52&amp;vd_source=88c81cf2fa352785c35de1a2834a1ed5,湖南
2,bili_14578403813,是谁考上了研究生依然要期末突击,辽宁
3,影子跟读,眼神好吓人,广西
4,198108221,棒棒棒非常棒，这才是中国大学里面的教授应该有的样子！！比那些误人子弟的老师好多了！,山东
5,河床搁浅,凌青大佬,山东
6,bili_53128320261,想求最优化电子教材、ppt以及缺失的那一集，非常感谢up~,广西
7,灵魂不灵,求教材和资料[委屈],广东
8,咻咻cccc,博主已三连，求最优化理论完整版教程，课程资料和缺失的一集,辽宁
9,YingJiuJiu,求缺失的那一集，谢谢up,天津
10,sssyyy111777,求电子教材和PPT， 以及缺失的一集,四川
11,柒玖____,求电子版教材和PPT[保佑][保佑][保佑],辽宁
12,libby凌,求缺失的那一集[爱心][爱心],浙江
13,娅莉姬,已三连，求一下教材，谢谢up主～,安徽
14,不北飞的白兰鸽,有电子教材吗？求～,浙江
15,PING__L,已三连，求缺失一集,河南
16,bili_88900800181,已三连，求缺失的一集[保佑],山东
17,小苏的妲己,已三连，谢谢,辽宁
18,27号老法师,有没有更加清晰的视频呀,浙江
19,bili_95840693804,已三连啦！求资料！！[给心心],北京
20,笑着笑着-笑哭了,已三连。求电子版教材 刚开始学，看评论说缺失一集，同求这集。,北京
21,emo也是e,诶凌青老师不是在中大吗？我这学期刚好选修了老师的最优化课程[脱单doge],广东
22,tll1945,我想请教一下，我对最速下降方向的理解，您看看对不对。我的想法如下：在最优化问题中，最速下降方向需要化成自变量的改变量受限条件下的最小化目标函数问题，请问，自变量的改变量的受限条件如何设定。因为把被分析的函数使用泰勒公式进行二阶展开以后，可以发现最速下降法中的目标函数与被分析的函数之间的差距就是泰勒展开公式中的二阶项。当搞不清楚海瑟矩阵的具体内容时，认为上述误差项对每一个自变量敏感度相同，由于这个原因，才把球形约束最为最速下降问题的约束条件，否者就不使用球型约束，按照误差项对不同自变量不同敏感程度重新建立最速下降问题的约束条件。我的想法对吗？要是能建议一下这方面的书籍和论文或者教学视频，更加感激,北京
23,樱雨寒天落,已三连，求课件资料,浙江
24,Dx布衣,求缺失的一集,四川
25,Yjsensen000,求电子版资料,北京
26,稻米和小麦,已三连，求8.5（缺的那一节）,辽宁
27,bili_61257967538,已三连，求最优化电子教材、ppt以及缺失的那一集，谢谢,江苏
28,bili_59796157653,三连三连，求资料[大哭],山东
29,TNT-constantly,已三连，求电子教材和ppt和缺失课程,安徽
30,快乐是什么星球,想求最优化电子教材、ppt以及缺失的那一集，非常感谢up~,北京
31,忍者女神象,想求最优化电子教材、ppt以及缺失的那一集，非常感谢up~,北京
32,我哪里不绝望啦,up求缺失的一集，已经一件三联,四川
33,乡下的小丫头,求缺失的一集[大哭],广东
34,柠檬汤很好喝,已三连 求教材和缺失的一集,湖北
35,苍巫墨,已三连，求最优化电子教材、ppt。,海南
36,jbjh1,已三连，求最优化电子教材、ppt以及缺失的那一集，谢谢up！！,四川
37,永远不算晚,想求最优化电子教材、ppt以及缺失的那一集，非常感谢up~,重庆
38,啦啦啦京卡了一,博主已三连，求最优化理论完整版教程，课程资料,辽宁
39,甜鸽suki,求电子版教材,山东
40,__dong__-,求电子版教材,广东
41,SlaveYang,已经三连，求最优化电子教材、ppt以及缺失的那一集，谢谢up分享,北京
42,FyuQ-,求电子版教材,湖北
43,Shinel_Nozen,博主已三连，求缺失的一集课程,江苏
44,fancyNovocaine,求缺失视频UP！！,北京
45,13bear-,请问可以私一下缺失的一集和电子教材吗？万分感谢,北京
46,风枫疯峰蜂,已三连求资源,安徽
47,bili_67775738094,求缺的那一集,江西
48,with_time,已三连，求缺的集数和课程资料，谢谢up[蹲蹲],江西
49,早安吖薰,已三连，求缺的集数,吉林
50,快乐是什么星球,求最优化电子教材、ppt以及缺失的那一集，谢谢up分享,北京
