Index,User_ID,Content,IP
1,梅弟meide,我无聊的时候做了一个研究，就是二的平方个位数和十位数的循环规律，然后发现个位数的周期为4，十位数的周期为4×5，百位数的周期为4×5×5，这个算数论吗[笑哭],上海
2,小诸葛的灰白,细分一下貌似有7000多个分支，一辈子学70个都是顶尖大佬,江苏
3,在小B的精神世界,数学和物理是现实世界的底层代码,广东
4,-PETER--GRIFFIN-,T，主=6[doge],安徽
5,AloneReader,正好背单词不好区分这几个感谢,辽宁
6,KeyBird,可以说是完美贯彻了外行和刻板印象的分类了,上海
7,树上的姥爷,没有堂堂集合论不够全面,中国香港
8,qppqpq,动力系统呢,广东
9,Spatacle,为什么它们都属于一个学科？,浙江
10,埃米尔-德米安,话说非欧几里得是属于这里面哪个分支的,湖南
11,露西凯文,图论呢,辽宁
12,1e9879,感谢分享,广西
13,寒鸦说,图论，混沌理论，离散数学没讲,Unknown IP
14,榴莲0V0,为什么点赞显示非法访问[辣眼睛],贵州
15,合订本第六章之回旋镖,没救了，我点了稍后再看[doge],广东
16,一系列笔记簿,什么时候更物理学[doge],吉林
17,打火机洗心革面,最难的一集,黑龙江
18,zdusus,@emily9t 这个我熟,北京
19,远i-Tony,不是，群论呢？,河北
20,魔法少女川谷元美,[打call][打call],陕西
21,T_O_G_E_T_H_E_R,算数，代数学，几何学，三角学，微积分，数论，线性代数，统计学,山东
22,秦明-LeoQin,谢谢分享[doge],河北
23,northpark6800,群论？,湖南
24,人生二态,卷起来哈哈哈,Unknown IP
25,Morita_S,algebraic geometry怎么说[doge],云南
26,魔法少女川谷元美,加油,美国
27,魔法少女川谷元美,加油,陕西
28,透明雨具买全套,BUFFER differe RENTAL  differentIAL differential equation equal QUOTES  STATI...,福建
29,岛主爱因斯坦,听不懂思密达,江苏
30,魔法少女川谷元美,加油,美国
31,QUATERNIJKON,请用原声,北京
32,虚無空界,这个频道挺有意思的我也关注了,海南
33,鼠鼠sense,飘了，我居然也敢看这种了[星星眼],广西
34,一flower一world,理科学渣学习中～～,Unknown IP
35,王安石迪斯科,@_U_p_o_n_ 交给你学 我先跑了（,陕西
36,骑猫打狗,收藏夹里吃灰吧！,河北
