Index,User_ID,Content,IP
1,luxury1999,一句话一定要写作业的，可以买一个coursera课，完成会有成就感,重庆
2,太阳风的轻语,看过国内做的程序员数学，一上来就是向量，很多几何原理都没看懂所以没记住，这个一上来讲最基础的，即使是文科小白甚至初中生，我觉得都有可能更容易懂一些，有图有工具的方式也更容易加强几何意义的记忆,湖北
3,GPT中英字幕课程资源,吴恩达《机器学习数学基础（购买考题版）资料》链接：https://pan.baidu.com/s/1aEHTzCk_QppChyOw7KDxhw?pwd=y8f8  提取码：y8f8  https://github.com/Ryota-Kawamura/Mathematics-for-Machine-Learning-and-Data-Science-Specialization,江苏
4,GPT中英字幕课程资源,吴恩达《机器学习数学基础（购买考题版）资料》链接：https://pan.baidu.com/s/1aEHTzCk_QppChyOw7KDxhw?pwd=y8f8  提取码：y8f8  https://github.com/Ryota-Kawamura/Mathematics-for-Machine-Learning-and-Data-Science-Specialization,江苏
5,GPT中英字幕课程资源,https://github.com/Ryota-Kawamura/Mathematics-for-Machine-Learning-and-Data-Science-Specialization PPT https://pan.baidu.com/s/1I9W3U_PLRxcEwWLcdrt1FA?pwd=whbu https://www.bilibili.com/video/BV1UQq2Y5Ez7/?spm_id_from=333.788.comment.all.click https://b23.tv/H5qbSvS,江苏
6,SereinSos,学完了，准备花两三天沉淀一下爆点笔记[脸红],广东
7,GPT中英字幕课程资源,《机器学习数学基础》概率论和统计https://b23.tv/tgcJo5d 配套资料，提取码请三连+评论 链接:https://pan.baidu.com/s/1A2wgjyxo2UypoykR-BRx7Q   复制这段内容打开「百度网盘APP 即可获取」,江苏
8,coderfc,非常好的课程，感谢upper！求配套资料！,江苏
9,sTrum-mer,感谢up，很需要，已三连，求提取码[星星眼],北京
10,alberthua-perl,"24_高斯消元法：这个视频中的方程组解有问题，应该是 a=0, b=-1, c= 0。视频中在第一次对 R3 行变换的时候出现错误，后面就不对了。可以关注下[笑哭]",新加坡
11,Leex__-,有条件的话去coursera上买这个课程，有练习有应用程序训练还有交互实验室，能收获很多,日本
12,小龟子666,哇 世界上还有阿婆主这么好的人儿呀[兔年],黑龙江
13,GPT中英字幕课程资源,https://www.bilibili.com/video/BV1WH4y1q7o6‍ 吴恩达《机器学习数学基础（购买考题版）》链接：https://pan.baidu.com/s/1aEHTzCk_QppChyOw7KDxhw?pwd=y8f8  提取码：y8f8  复制这段内容后打开百度网盘手机App，操作更方便哦,江苏
14,游荡的码农,先三连。好用吗[doge],广东
15,征途777,已经三连，提取码？,河北
16,oswin1043,感谢up，很需要，已三连，求提取码[喜欢],福建
17,江城校园记者,感谢up，很需要，已三连，求提取码[星星眼],北京
18,TinySamurai,感谢up，很需要，已三连，求提取码[星星眼],福建
19,非典型教师R0,singular system  是不是应该翻译成奇异系统，我看字幕翻译的是单数系统。,安徽
20,馬孔多在下大雨,p9最后这个三维是什么软件啊,浙江
21,账号已注销,讲得是真好,四川
22,麦門冬から湯,课后习的html页面有个问题，就是里面的加号“+”不显示,河南
23,通灵小蛊,三连 求资料,北京
24,土喆,学完这个，对于人工智能的线性代数就够了吗？,重庆
25,fir229,非常好的课程，感谢upper！求配套资料！已三连,上海
26,捡到恐龙蛋的Mr_Francis,求资料,河北
27,Lang君子,非常好的课程，已三连，感谢up！求配套资料！[脱单doge],广东
28,弈轩9,感谢up，很需要，已三连，求提取码[星星眼],北京
29,reset明天,已三连求资料🥺🥺🥺,内蒙古
30,这就退学,已三连，求个提取码,安徽
31,账号已注销,已三连求私,四川
32,安神豆腐花儿丶,感谢up主，已三连，求提取码,浙江
33,Vanderbillt,感谢up，很需要，已三连，求提取码[星星眼][星星眼][星星眼],广东
34,黑天鹅栖木,请问这是完整的,广东
35,yelwfh,已三连，求码,上海
36,kajibu,感谢up 已三连,四川
37,AdhityaGopal,感谢up，很需要，已三连，求提取码[星星眼],陕西
38,KTFR,已三联，求,江苏
39,zglsy,感谢up，很需要，已三连，求提取码[喜欢],广东
40,大大大大夕夕,感谢up，很需要，已三连，求提取码[星星眼],新疆
41,徐总永远支持您,兄弟需要提取码，已三连,四川
42,小小大的恶魔,三联啦，求资料~,天津
43,Afan_z,蹲蹲提取码~,天津
44,戒八豬,感谢up，很需要，已三连，求提取码[星星眼],北京
45,-Go-go-GO出发咯-,求提取码[星星眼],湖北
46,医学早知道,已三连,浙江
47,GLORYMU7,感谢up，已三连，求提取码,广东
48,xuaoduan1991,已三连，求提取码[鼓掌],北京
49,普狼克,已三连[星星眼],安徽
50,真的只有一个,已三连啦，求码[呲牙][打call][打call],安徽
