Index,User_ID,Content,IP
1,mX1a0,三连学习,云南
2,NN的日落,三连学习,福建
3,小批粑,三连学习，谢谢[星星眼]。,重庆
4,小凡不凡唔,三连学习,重庆
5,你又在写BUG呢,三连学习,湖南
6,游戏太玉小桃,@千年的モモイ @24岁是牢师 @不乐雨滴 @东京丸山彩 @时瑾鸢 @玫_水圣白王 @Stone乀,四川
7,Stein-Yanaa,已三连，感谢,浙江
8,灯下写作业,已三连 谢啦,重庆
9,弔人有毒,三连学习,河南
10,bili_93255288508,三连学习,广西
11,cc00ccc00cc,三连学习,浙江
12,频频的笑,已三连求资料,山东
13,36344883187_bili,已三连,北京
14,岩岫邪,三连学习,重庆
15,舟舟芮,三连学习,浙江
16,34018758396_bili,三连学习，求分享,江苏
17,bili_58666569029,已三连,云南
18,lovu莘逸,"三连学习,求资料",上海
19,鲸歌111,三连学习,黑龙江
20,正常的不得了的hmk,三连学习[星星眼],浙江
21,历史脐带,已3连，求资料。谢谢,江西
22,雪落青衫ciyo,三连学习,广东
23,KFC之王陶吉吉,三连学习,上海
24,烈焰-拔刀,三连学习,四川
25,你好惠哦,三连求资料,江苏
26,滴滴哒哒哒bzqq,三连学习,云南
27,网际游侠者,已三连，想学习,陕西
28,不要给我哭了,三连学习 ，老师,北京
29,认真且专注的神,三连学习,河北
30,自由之国,已三联，求资料，谢谢,陕西
31,_马夫_,三连学习,广西
32,bili_53568322907,三连学习,河南
33,Winda沐橙,三连学习,内蒙古
34,truncatedVerse,三连学习,山东
35,li葵花,三连学习,新疆
36,鱼书隐,已三连学习,广东
37,性感的扫帚,三连学习，谢谢🙏,陕西
38,氢二氧的三阶导,三连学习,山东
39,-懶啊,三连学习,广东
40,人生不需要彩排,三连学习,广西
41,炭酱加油,三连学习,福建
42,tablechair77,三连,江苏
43,-_Harvey_-,三连学习,北京
44,旋风牛人,已三连学习，求课件，谢谢。,海南
45,noble109,已三连，求资料,河南
46,M4是小公主,已三连学习[doge_金箍],山东
47,墨铖001,三连学习,安徽
48,宇宙第二总攻,三连学习,湖南
49,非常老王八,第二章的4和5是同一个视频，没有看到“得分函数”的内容[委屈],新疆
50,闪光つむぎ,ai也太强了......@梦想挂彩虹 @8xinze2 @-dogma- @驻灵守卫,北京
