Index,User_ID,Content,IP
1,我和我的平庸,这个访谈让我很震惊，我关注以下几个问题，第一，那在AI爆发之前，这个学校取得的成果如何；第二，如果没有AI，精英式教育能够培养人才的成功率是多少，如果很高，其实alpha学校本身也没有那么厉害；第三，他们在宣称自己的学生每天只用两个小时学习，那两个小时之外学生在干什么呢；[喜极而泣],江苏
2,目前菜鸟中,ai永远都有耐心，然后学生还想学，ai就会一直换方法给你讲下去，这点对于学生真的很重要。  我上学的时候成绩中等，老师讲课听不懂，也很怕问老师，自己看书自习，却总是觉得差一点什么。为了提高成绩，家里给请了家教，我印象特别深刻的是，有一个困扰了我三周的知识点，家教为了给我讲明白，换了六种讲法，用了二十分钟，但是我懂了，我真的懂了！  我不是学不会，也不是不愿学，有时候没有方法尝试去学。  我觉得AI就像是免费的家庭教师吧，最能普惠的就是缺乏学习方法，但是又有学习意愿的学生。有了AI老师之后，学生的勤奋才能真正有用武之处吧。,宁夏
3,arrowman12,其实ai只是工具，她们也说了只占百分十，最重要的还是如何激发孩子们的内驱力。传统学校最大的问题，就是让大部分孩子，讨厌学习，讨厌学校，甚至出现生理和心理问题。 我看她这种学校的核心理念，其实和100年前的夏山学校很像，就是尊重每一个孩子，充分给他们自由，让他们找到学习的动力和目标，学会如何学习 但是夏山学校和泰戈尔的学校之所以没有推广也是有原因的。 但作为一个理想主义者，真心希望这次不一样[打call],甘肃
4,克劳迪盖乌斯,叶神翻译了一篇长文，就是由将自己三个孩子送去这个学校的的父亲写的，但本文并没有很多对alpha模式的商业吹捧，而是客观冷静却又娓娓道来的数据分析和理论介绍。将这个学校的简史，教学逻辑，招生情况，财务风险一一道来。要是有进一步兴趣的可以再看看第三方的视角。 https://zhuanlan.zhihu.com/p/1962882704082211479?utm_psn=2010880382871045016,湖南
5,短腿小胖子zzz,很棒。第一反应是 以后也希望我的孩子受这样的教育；而当下的决定是，我现在就要这样再把自己养一遍。  很长时间以来我都被工作占满了，虽然是“研究生”但是我已经快要失去自己的探索欲 求知欲 和对于“零食和游戏”的喜好了。 从现在开始，我也要重塑这样的热情。  以及！老毕还是和以往一样非常会问非常会采访（看了老毕好多期，提到好多问题的时候我都能感觉到老毕其实就是在说自己，比如说那个“实际上是在模仿 而不是真正的动力”hhh）,广东
6,心若倦了了了,这里讲到的各种教学理念和方法和 AI 关系不大。关于如何学习，基本上属于老生常谈了，又来了一次轮回。至少80后一代从国内教育培养出来的学霸，也可能是因为在中小学阶段没有互联网、社交网络和手机，再加上那个年代老师在教学中的投入和使命感都很强，基本上都早就是具有了这些自驱的特质了。,美国
7,毕英杰Johnathan,充电文稿请移步： （上）https://www.bilibili.com/opus/1169842056569290769 （下）https://www.bilibili.com/opus/1169842580567883780 如果你希望接收最新内容、线下活动邀请，欢迎通过johnathanbi.com订阅我的Newsletter！,美国
8,心可小筑,极其精彩且具有实际意义的一次采访，让人看了为之欣喜、振奋，非常喜欢！很惊喜看到【AI负责个性化的知识教学，教师角色转化为“导师”】这样的教育模式在Alpha学校被实践，并且得到实际数据结果的支持，这也是科技进步带给人类的好处。本质上这并不是新出现的教育模式，自古在东西方都有，只是现在得到了科技的加持，是可以更接近理想化。  非常欣赏Johnathan这次采访所提出的问题或者说“唱反调”，角度犀利，有智慧也有张力。特别是最后一段他提及导师听起来就像是做个好家长，一语中的！可以看得出来Johnathan基于自己的教育经历，在教育问题上做过深度思考，最后的二十几分钟我认为是这次采访的精华，如果没有最后几个问题的“交锋”和“落地”，那么这很可能就仅是一次展现精英教育天花板内容的采访。教育必须能惠及普罗大众。  看完采访，我有几个好奇： 1、Mackenzie女士极少说到学校如何将自己的教育理念触达“家长”，极少几次提及家长的内容不足以看出具体的工作。导师虽然像好家长，但家庭的影响仍然极其重要，不可取代。如果不断落地触及到中产以下家庭的孩子，这个问题就会凸显成为最大的困境。好在最后Mackenzie女士也表示虽然需求量非常大，但在大规模推广一直很谨慎，这是对的。 2、整个采访几乎没有提及Alpha学校如何培养学生们对社会的责任感（如果有，那么是我疏忽了），显而易见第一批学生就是享受了99%的资源的那1%的人，如果缺少了这一块，那么这样的教育模式仍然不能建构一个健全的人格。  最后要盛赞这次采访的伦勃朗式打光，柔和了视觉效果，能更好地专注在采访的内容上，减少了一些外在因素的干扰。,美国
9,自转竹蜻蜓,如果所有人都可以通过AI的个性化学习达到顶尖水平，那也就没有所谓的顶尖水平了，因为都是排名排出来的，那么也就不会存在竞争了吧？所有人都可以学自己想学的，而不局限于一个无聊的竞争系统，做梦一样[星星眼][星星眼][星星眼][星星眼],广东
10,小趴菜乖乖,up是我第一个充电的up主，真的让我这个小镇做题家了解到了不同的哲学思想，了解到了世界之大，感谢[星星眼][星星眼][星星眼],河南
