Index,User_ID,Content,IP
1,臭看番的我,想知道 这种ai视频 变现手段是啥呢,重庆
2,我是精灵副将马国成,有个视频和你这个一模一样 除了动态漫的例子,辽宁
3,科里昂杨逍,这个教程过程中需要收费吗？,广东
4,小志学AI,太详细了，我已经可以自己制作一个ai类视频了,湖南
5,自动抬杠的ETC,已经三连,广东
6,言成加减乘除,已三连666,浙江
7,究极丶破坏神,即梦出的图很多文字都打错该怎么弄的,河南
8,bruce2_yan,感谢分享，可惜生成视频会员太贵了， 一段 165秒的视频，优惠价还趋到 46元了，运营短视频成本有点高,广东
9,逍遥游书生,已三连,广东
10,糜烂的野鹤,已添加，通过下哦,四川
11,若水3590,求资料,浙江
12,我知道世上有这样的你,去哪里接单？,甘肃
13,哲尔梗,已三连[打call][星星眼],重庆
14,吃川菜嘛,已经三连，求资料,陕西
15,追逐星光的菜小丁,已三连，跪求指导,甘肃
16,烟雨平生丶喧哗,求通过,广东
17,紫梅熊,用电脑还是手机？,山东
18,职业玩家_X,这个动画片我竟然看进去了[笑哭],北京
19,空心慈,为什么我的豆包感觉好蠢啊[大哭],江西
20,bili_72444140701,已三连求通过,安徽
21,枯叶齐飞,已三连，求[打call],四川
22,DefierZZP,已添加，请通过,北京
23,野野00野野,已添加，求通过，求资料！,广东
24,燚-涵,高质量视频教程，求通过,江苏
25,手上的孩子气,求带,河南
26,松林林松林,画面和声音不同步[笑哭]老师,四川
27,小四May,已三连,福建
28,人间复归离,已三连，已申请，求通过。,吉林
29,我只会中翻,已三连，求通过,浙江
30,空洞_理想,求资料,山西
31,老人与墨,道理我都懂，技术我也会，问题是怎么变现？靠运营账号等广子上门？,上海
32,SQSunny1,已添加，请通过。,河北
33,名字随意取的,添加微了,湖南
34,UFO747,已三连！求通过,河北
35,ljsxzx,音画好像不同步,安徽
36,我要吃鱼了哦,手机上的话呢,重庆
37,月亮916,已三连,河北
38,狐狸Fuchs,已三连,湖南
39,小猪在逃窜,求通过,广西
40,yaniYY,求资料,四川
41,酷筱鲜,666，求大佬通过。,上海
42,是嘟嘟嘿嘿,111,河南
43,有决心的me,在哪里接单啊,山东
44,饼饼饼叔,已三连,山东
45,杨扬爱欣宝,已三连,福建
46,冒昧滴家伙,求通过,广西
47,bili_33683297369,已添加,上海
48,1223885866,跟着老师的课程做的,四川
49,一世浮華灬,已添加，求通过,广东
50,扣库里桑杰宝,三连 已申请求通过,浙江
