Index,User_ID,Content,IP
1,吴恩达langchain,如果大家需要大模型项目、代码、面试题等资料，我都整理好了！ 🔗发不出来～已关注的评论扣“1”，我来手动发！ [给心心]肝视频不易，求大家一键三连的鼓励~,湖南
2,你的我的我们的-,已三连，求资料~,湖北
3,有氧rua,我就刷新了一下，就换源了。。。,上海
4,控准,已三连，求资料,河南
5,潭谭谈,已三连，求资料,陕西
6,eueuhrejhf,求资料,山西
7,shit坨坨,已三连，求资料,北京
8,吴恩达langchain,陆陆续续也整理了不少资源，希望能帮大家少走一些弯路！无论是学业还是事业，都希望你顺顺利利  看在UP这么努力的份上，求个三连+关注嘛  ①大模型入门学习路线图（附学习资源） ②大模型方向必读书籍PDF版 ③大模型面试题库 ④大模型项目源码 ⑤超详细海量大模型LLM实战项目 ⑥Langchain/RAG/Agent学习资源 ⑦LLM大模型系统0到1入门学习教程 ⑧吴恩达最新大模型视频+课件,湖南
9,湛蓝的泪,时间	内容	标签  0:00	开场音乐	开场  7:35	课程开始	课程开始  7:57	课程结构介绍	Prompt课程目录  8:54	提问三种大模型私有化方法	Prompt/RAG/微调  9:20	Prompt Engineering介绍	提示工程  10:10	RAG介绍	知识库检索  12:06	微调介绍	模型训练  13:48	Prompt定义	什么是提示词  16:43	Prompt Engineering解释	指令工程  18:55	Prompt类型	指令、问答、角色  20:33	Prompt示例：科技文章	Prompt优化  24:01:00	模型参数介绍	Temperature  26:30:00	API调用示例	Prompt代码  29:46:00	Temperature取值	参数解释  32:48:00	Prompt结构介绍	12要素  33:24:00	角色设计	Role Prompt  35:13:00	目标定义	Task Prompt  36:37:00	输出语气	Tone  37:32:00	示例使用	Few-shot  38:20:00	工作流程	Step Prompt  39:01:00	输出格式	Format  44:16:00	Markdown输出示例	格式控制  47:14:00	上下文影响	Context  49:17:00	优化Prompt案例	健身计划  52:17:00	Prompt核心结构总结	Prompt公式  53:25:00	RAG中的Prompt	Context Prompt  55:27:00	Prompt调优技巧	Prompt优化  56:00:00	角色影响理解	Role技巧,河南
10,雨落满地,老师这个课学完之后可以达到自己对传统项目添加对应的agent的能力吗,山东
11,无为则无不为老子,已三连求一下资料111,云南
12,NL-ONE-HGS,求资料,安徽
13,robbin517,已三连，求资料💾,广东
14,飘絮逍遥,已三连，求视频里的代码资料,河北
15,唱歌的越人,已三连，求资料,中国香港
16,依然折颜呵,已三连，求资料[呲牙],山东
17,静态路由啊,111已三连，求资料,山东
18,南淮月色,已三连，求资料～,北京
19,longzihushanji,求资料[doge_金箍],安徽
20,帅墨白,学习,湖南
21,帅帅的小呆呆,已三连，求资料,北京
22,五小妖妖,已三连，求资料,辽宁
23,超级无敌可爱阿翎,已三连，求资料,广东
24,绽放126,已三连,山东
25,三斤散尽,已三连,陕西
26,_小馋猫烤肉拌饭,已三连，求资料,青海
27,D点,已三连，求资料,中国香港
28,wzh12138ffff,求资料！,安徽
29,小桃祺,老师求资料,江苏
30,森林赞美诗,已三连，求资料,北京
31,fbbqt,求资料,北京
32,olcal_goods,已三连，求资料,陕西
33,六尾智生,已三连，求资料,浙江
34,清湘碧雨,已三连，求资料～,四川
35,惠惠的爱人,已三连求资料,广东
36,园，离,求资料,江西
37,哈基糖ba1tang,已三连求资料[给心心],吉林
38,不看评论区rz,已三连，求资料～,北京
39,哇牛奶,已三连[星星眼],四川
40,bjbus_817,已三连，求资料,北京
41,北海桑木,已三连，跪求,浙江
42,amneellp,已三连，求资料～,湖南
43,q诚意,求资料,广东
44,glh-GLH,已三连 求资料,上海
45,huhupangu,已三连，求资料,湖北
46,不如睡个觉,已三连，求资料,重庆
47,小陈是学生,"已经三连,求资料",广西
48,有月球的北极村,已三连，求资料,浙江
49,95848277809_bili,已三连，求资料,福建
50,自律政佳人,已三连，求资料,辽宁
