Index,User_ID,Content,IP
1,4y542w,前面介绍较为一般，以为是平平无奇的科普，但是发现后面比较深的知识，讲的很透彻，可见up主功底真的很强，[脱单doge],广东
2,元气少女SX-Lucky,《人工智能神经网络》视频笔记 笔记一共3703字 开创人工智能的起点：“达特茅斯会议” 人工智能：人工搭建的智能  一、智能的定义01:56  针对不同情...,澳大利亚
3,白薇在云婉_,看完脑子懵懵的，不过还是想说一句：“漫士，你是我的神！”[脱单doge],山东
4,小哇5000,这时长，明明可以做成五六期，2个币不够,浙江
5,冷_鱼,up在多层感知机的一个小小的例子我都要理解半天，是不是没救啦[大哭][大哭][大哭][大哭],上海
6,霓虹恶魔Z,UP能不能推荐一些相关书单,北京
7,银河上的犀牛,真脚踩西瓜皮,江西
8,九州牧雪,"牛顿切线法,只能找到局部的极值,找不到全局极值, 讲解知识不仅要传递知识还说明局限性, 一个好的视频让读者觉得自己无所不能,当然这是个成功的视频,但是这种自大的自信对好奇心的观众是有害的,因为他们将止步于此.[doge_金箍]",江苏
9,Rc_羽忆,卧槽，感谢，研一在研究这个，正好帮助我有个大框架的认识,江苏
10,决心一到,字幕里有几个错字 23:15 疑惑→异或 30:22 你和→拟合 39:35 奇异→歧义,中国香港
11,WhaleColony,看完了，没错我之前就是被反向传播劝退了[doge]但是up讲得很通俗易懂，比我自己看书效率高多了，非常感谢！复合函数求导算梯度的底层逻辑并不复杂，但是计算迭代……还有我想用代码实现自己想法的时候，往往才发现最基本的逻辑都是漏洞百出[保卫萝卜_哭哭]罢了罢了，咱这脑子还是不太够用。毕竟咱工科生只是靠深度学习来拯救一下毕设而已，很多底层原理还是学得太浅了,青海
12,一只暴力小火猴儿,很难相信如此高质量的视频是用中文呈现的。,四川
13,BravoBon,好,广东
14,亜理须,充了个电，结果之前打的字全没了[辣眼睛]。08年读大学的时候学的就是互联网相关专业，本以为毕业了后会去互联网公司当个码农，结果学到后头发现没有足够的数学基础还是别碰计算机相关的工作了。自己写个应用小程序没什么问题，但是如果想要深入的从事更核心的工作就会发现真的力不从心。当年的学校很一般，老师也属于是半路出家，听老师上课不如自学，而当年网上的学习资料也不像现在这般丰富和便捷[喜极而泣][喜极而泣]非常认可热评的那句“很难相信如此高质量的视频是用中文呈现的。”因为现在的网友可能很难想象10年前的计算机相关知识翻译成中文是有多么的晦涩难懂，那还只是很简单的基础知识。对于普通本科生来说，英文版的用户手册比中文版的教科书更通俗易懂[笑哭],浙江
15,小萌哥注册啦,这是我在B站的首次投币，感谢。,北京
16,白清清清啾,#神经网络############ “智能本质上就是针对不同情景给出针对性的输出反应。” 1. 机器学习：给机器看大量例子，让他学习记住，用奖励和惩罚机制...,吉林
17,你你洪哥,从头了解一个学科，才能把这个学科的所有知识串联起来,北京
18,理棽自修室,学过编程之后，我个人感觉AI就是更高级的编译器，把人类的需求直接进行处理和转译然后指导机器进行行动，不用人类再敲代码了，直接下指示就行了，人机交互更简单了，现在已经不用点鼠标了，甚至不用说话，眼珠子动一动就可以被捕捉，然后AI根据细微的变化进行“点选”、“运行程序”，由此可以扩展到任何一件事情上。AI的所谓“学习能力”其实就是喂大数据，但是核心学习方法也就是“算法”最重要，省时省力是关键。,山东
19,最漂亮子,Up 我一直有一个想法。 人工智能不能独立的去研发。 他需要一个辅助系统。 我们玩儿过游戏，就是魔兽世界里的暗夜精灵族。 他们有一个知识古树。 暗夜精灵无数年来所有的知识都存在知识古树中。 我觉得人类想要突破更高的文明，必须有一个自己的知识古树。 人的大脑是有极限的。 而且最关键的就是每一个人每一代人都是从零开始学起。 这样就导致了人类在二三十年内学的知识量其实是有上限的。 所以人类想突破更高文明永远无法突破这个二三十年限制。 这个时候我们就需要外部的辅助了。 我想了好久，这个最好的辅助就是这个知识古树。 它的功能有点儿类似于百度。 但是他不是百度。 我们需要一个纯净的，干净的。完全的知识点关联的东西。 这个知识古树最大的特点就是自由挂载。 任何知识都可以挂在上面。 如果当前只是往上挂的时候找不到根，也就是挂载点。那么他就可以单独起一个小的知识古树。 直到这个小的知识古树与大的知识古树共同发育出某个关系后，他们有了挂载关系后小，的支持果树才会往大的支持果树上挂载。 任何一个节点都应该可以完全独立出小的知识古树。 小的知识古树在大的知识古树上关系位置不是固定的。大的知识古树应该随时根据无数的知识丰富程度，任意摘下某段小的知识古树。然后放在正确的位置或者拿下来让他单独独立出来。 直到他们拥有了正确的关系后再重新放回去。 周而复始。 这样我们就可以得到一个拥有自我成长能力的知识古树。 这个成长由一个辅助程序来维护就可以。 综上所述，我们就可以得到一个完美的知识古树。 知识古树有一个最大的好处。就是他一次学习，终身学习。 这样就可以避免了人类每一代人@都要从出生后开始学习这个最大的弊端。 只有这样的知识古树，知识不断累积，人类才有可能向更高的文明发展。,北京
20,星尘小幻,感觉计算机更接近数学一些？不是数学系的感觉高数就一个微积分而已，再加上线性代数和概率论，应该学的算是比较多的了，但是还是有我不知道的数学名词或数学公式[tv_鬼脸]要是想学习是只能看书自学还是考研后会学啊，或者是数学系才会学[tv_疑问],河北
21,孙迅速,00:00-01:47 引子：达特茅斯会议,江苏
22,我正苍翠,还没看，感觉是一个科普向的视频。刚学完一个pruning算法，觉得自己太深入树叶而看不见森林了，正好推到这个可以纵览全局的视频😋😋,北京
23,-骑白马的酷毙少侠-,up有没有听过一种拓扑优化方法，伴随拓扑优化（adjoint topology optimization）。 刚刚听完反向传播，我觉得好像啊。我是在用这种拓扑优化做光学器件设计的研究生，一直不太理解伴随方法的数学模型。只觉得，正向的基于梯度下降的拓扑优化，很像机器学习里的损失函数最小化。,山东
24,幸爷6668,我将视频内容整理成了学习笔记，需要的各位宝子自取[脱单doge][脱单doge][脱单doge]【金山文档 | WPS云文档】 人工智能科普.mp4_笔记 https://kdocs.cn/l/cciZkYLveHHi,贵州
25,这年头取名字so难,现在缓存码率是不是会高一点[doge],广东
26,NOFACE不是大触,好伤心呀，以前觉得人工智能能把人类从繁琐的劳动中解放，结果人工智能最先进攻的是文学，绘画，摄影这些创造性领域；挺悲观的，比如在未来，一个有绘画兴趣和艺术天赋的孩子，却因为在童年时期的作品无法超过AI，所以被认为是不值得往艺术方向培养的，被说“画的还不如AI好”,中国台湾
27,热爱人民的小小读书郎,人工智能就是打开生物生命秘密的那把钥匙[星星眼]。我现在在学ai的相关知识，学到神经网络这里，发现电脑接受信息的方式，和人类一样。一层层电脑神经层，隐藏层，嵌入层的增加，ai机器人竟然算出来的东西竟然和现实一样。 这背后怎么算出来的，哪怕人类现在都不知道，反正按照代码和搭建的大模型，再加上万亿条资源不停的喂，计算机竟然就能给你最终得到跟现实一样的答案。(就跟人类在接受很多现实信息的时候，看似混乱，八方混杂的信息，最后也是在不知不觉间理清了思路)。 甚至我都觉得ai，数学，生物学和神秘学(道，佛，星盘，周易等)的结合，能让人类越来越意识到，地球的生命本质可能就是一套已经设定好的程序，正如神经网络在设定好的程序下，能跑出现实的答案一样。人类也终会在这宇宙设定好的程序下，走到更高的维度[大哭],北京
28,weifu_chow,终于看完，UP主牛逼，关注很久了，有个问题关于最近很火的理论上模型参数需要越大才会越智能，而越大则意味着算力要求会越来越高。deepseek是怎么做到怎么低成本的呢？他是重新定义新的训练方程或者说是函数什么的，比如用更少参数达到同样效果等。求UP介绍一下新开更一期,广东
29,-日之暗面-,原来你是姚班的，我说水平这么高,美国
30,离原忧穷年,还有别的事要做，暂时只看了前1/3，稍微说两句 我看科普的时候一般不太喜欢科学史的部分——毕竟那些过时的东西对现代知识没什么意义。但是漫士这集讲得是真好，颇有种以史为鉴可以知兴替的感觉了,湖南
31,甜樱Amai,哇哦，太感谢@漫士沉思录 了，正在试图学入门这个领域。感觉跨学科跨体系的知识非常多，体系也比较零散，所以一直有点小迷茫。这个视频非常系统的铺设了相当完善的一张地图，感觉真的好棒。,上海
32,你闪现留着回家,我个人认为，真正的人工智能是能够让程序产生自我意识。 但是这是不可能的，因为自我意识的产生本质上是生物为了求生而出现的副产物。 而人工智能本质上只是一个程序罢了，他甚至不存在任何实体。他自然也无法理解生存。 我举个例子，假设现在有一个机器人，他能够跟人类正常对话，也会被笑话逗笑。也有各种各样的情绪。那么这个机器人就真的拥有智能了吗？ 不一定，也有可能是什么。这个机器人根本不存在什么智能，有可能他体内的那个程序，已经把他在什么场景下该说什么话都规划好了。这个机器人只是按照预设的程度把准备好的话说出来罢了。 而这个机器人的各种情绪也不是因为这个机器人真的有自己的情绪，只是因为程序告诉他这种情况下你该表达出什么样的情绪。,河南
33,artanys,[大哭],上海
34,慕月_璃,内容很全，讲得不深但通俗易懂，科普的很好[给心心],上海
