Index,User_ID,Content,IP
1,晓·京,mit前人工智能实验室主任，可惜已经去世了😢讲的很好，哪怕不学计算机也对你的逻辑思维很有帮助,日本
2,南宫羊羊羊三端脚本,这个4k是 1901 年的4k吗[doge],安徽
3,不会点穴的周伯通,Patrick Winston，1943-2019，mit前人工智能实验室主任[doge]，且看且珍惜。更为大众熟知的是他发表的《how to speck》视频。,重庆
4,AI课代表呀,AI课代表的笔记：这个视频是MIT的人工智能入门课程，讲述了人工智能的定义和背后的原理。视频介绍了建立模型和表示形式的重要性，以及如何利用人工智能解决问题。还介绍了专家系统和深蓝等相关的技术和应用。最后，讲师提到了人工智能的发展和未来的挑战。   - 0:01 🤖人工智能的概念和构建模型方法 - 6:40 🔬生成和测试方法 - 13:23 🧪生成和测试方法的重要性 - 20:04 📜人工智能的历史 - 26:42 💡专家系统的发展和应用 - 33:24 🗣人类语言的起源和作用 - 40:06 📊分析出席率与课程成绩的关系  本内容由大模型自动生成，关注并 @AI课代表呀 总结其它视频吧~（本条由 @intp的鸦语千荒 召唤）,广东
5,TiGer_川,老师的知识面很广，对于入门开拓思维很有帮助，听完会有茅塞顿开之感，深入浅出，做为入门课程，或者导论性质，真的非常不错！！！,湖南
6,我哈什么,mit的人工智能不也是从基础讲起吗？为什么学生要求国内的人工智能导论就要学会熟练编写程序？[喜极而泣],河南
7,太阳之息,这老师为什么能叫出来每个人的名字[囧],山东
8,Nicky4Ye,一定要把水印贯穿全课吗[捂脸][捂脸],广东
9,爱笑的滑稽先生,程序员认为，计算机万法的那个源头它是什么？它是图图 对吧，所以这个词叫图灵，我经常说图灵这个词有秘密。图灵，图灵了吗？图灵嘛！他真灵了吗？图灵 到底灵不灵？图～灵～ 为甚图灵？他真灵了吗？！图灵［拍桌后仰］［激动前倾］你看看，灵不灵，图灵［打趣微笑］ 它很厉害，它不是一个有形的，所以你读《人工智能》，它是抽象的，它是个真理[妙啊],广西
10,Yoimiyaaaaaaaaaa,我觉得这个课更适合已经了解相关知识之后再用来温故知新 初学看这个感觉会变成一团乱麻[笑哭],上海
11,账号已注销,目前看到第七个视频了，不需要高数等知识，只需要逻辑。[doge],白俄罗斯
12,原来的我晓得,第二个视频 00:54中的不定积分 人类的符号积分做法(时隔5年，自己暂停了视频在草稿本上推演了很久才推出来，想当年考研数一146，手拿把掐的简单题，现在...,湖北
13,vlog历史,"第三课结束，你会发现第一节课介绍的Lovelace,世界上第一个编程者,她所说的那句似乎仍然适用：电脑只会做你命令它做的事，不会自发想到去做什么。 编程者，把他看到的复杂人类行为拆解为无数规则，让电脑按规则运行。只要能程序化的，电脑都可替代。但人脑有趣的在于，人们有时候自己也不知道自己怎么做到一些事情的。比如：许多提出著名数学猜想的人，他们的大脑是按怎样的规则做到的，在编程人知道之前（if possible）电脑取代不了人脑。",江西
14,_15898000769,别人家的从来没让我失望过!,山东
15,-Vanadis-,这个高中生能不能听懂 我不开玩笑 有点感兴趣[脱单doge],安徽
16,汤臣安保大队长,本视频附赠配套：作业、考试、读数、教程等学习礼包点击右方自取：  https://b23.tv/mall-Fztqp3Ugt-73jA3,Unknown IP
17,inferior魔法师,这是哪一年,北京
18,猫死谁手,收藏从未停止， 感兴趣，但怕自己想学错过忘了,陕西
19,vlog历史,第二节太多数学符号，看不懂。 不过老师说精髓是这套问答（如图） 学习一个新知识领域时，用这套问答或者说meta-knowlege(关于知识的知识)，很有用。 但老师给了简写，谁知道确切什么意思？  图中第二个有点模糊，是how represented,江西
20,Maryland121,听大师讲课是一种人生享受,北京
21,jgfdtj,像看天书一样[笑哭],河南
22,Phsconari,头好痒，好像要长脑子了,吉林
23,vlog历史,&#34;you must never confuse correlation with cause &#34; 说得好！其实说到底，cause是个虚幻的概念。因为人们看到两个事物一前一后高频出现，于是就认为一个导致另一个。人们所谓的cause，其实是极其高频的correlation。在宇宙无限延伸的时间里，你永远无法知道会不会有反例，而它一旦出现，你才知道，之前误以为的cause 只是correlation。有限的生命，不会有确定的答案。,江西
24,sadfasfadsfad,"constraint propagation (约束传播), domain reduction (域缩减), sort elements by ascending number of constraints (根据约束数量排搜索的顺序)",美国
25,K-E-N,05:04 搜索树的顺序（METHOD: BRITISH MUSEUM) 07:34 搜索含义 搜索不EQUAL地图 搜索是关于决策制定中的选则  08:...,广东
26,bili_4624370,创造AI好用,山东
27,蓝莓酱超可爱ovo,好深奥啊，看到第二节的积分了[藏狐],上海
28,Robo008,这大概是10多年前的内容了。如果没有好的数学基础，看懂这个不容易。,广东
29,嘟嘟测测肥拳,有生肉吗[星星眼],广东
30,国服火舞蜗牛,"有人向我解答一下第七课的T型连接点吗,我想象不出来",上海
31,我才是周老师,UP主加油！看好你噢~,Unknown IP
32,月沐琉璃海,先进收藏夹吃灰吧,北京
33,尘海彼方,关于知识的知识就是道,湖南
34,Yoimiyaaaaaaaaaa,chatgpt4都来了 不能不学了,上海
35,雒城机密,各位MIT的同学好,湖南
36,汤包521,UP主加油！看坏你噢~,日本
37,WILLAMSWANG,UP主加油！看好你噢~,Unknown IP
38,vlog历史,第五节，多了一个算法，名叫oracle，译为“神谕”，别看名称神神叨叨的，其实很简单，在科学领域里，人们诞生新的概念，总希望从日常已有词汇中拿一个词来取名，最好是比较生动的。神谕的算法是在众多路径中这么选：已知到达终点的距离11，然后当所有其他路径已达11或超过11，还没到终点，就否定那些路径。神谕是这样一种删选方式。,江西
39,追风少年9026,各位mit网课的同学好 打卡第一天,贵州
40,冰雹不能吃,太有意思了这个老师,广西
41,鸡老板厨房,十分好用的催眠课，睡前听不到十五分钟已入睡[tv_亲亲],浙江
42,不会点穴的周伯通,这视频拍的时候，我还是小学四年级[doge],重庆
43,bLanKo_0,这是哪一年的,江西
44,唐努图瓦一世,不错，很有收获,江苏
45,lililixing_770,UP主加油！看好你噢~,辽宁
46,于德鲁谦巴纳,美国搞不了人工智能，因为美国的人工智能不能进入服务行业，工会不同意。进入工业的话，美国没工业。进入农业的话，粮食多了没人买。只是一群程序员给自己挖坟而已。,天津
47,-梦幻星辰,过时的技术,缅甸
48,bili_512997316,[蹲蹲][蹲蹲][蹲蹲],北京
49,别叶卡松,这位老师在视频说话还很流畅，没有一直喘气[大哭][大哭][大哭]，后面他一节讲怎么说话的课的时候就一直在喘气,福建
50,小松鼠爱游泳,学习Ai，推荐清华大学教授张长水的书《人工智能的底层逻辑》，没有公式、代码，而是用接地气的案例、生活中的比喻等，把AI的关键概念都整明白了，告诉你到底什么是人工智能。,北京
