Index,User_ID,Content,IP
1,哔哩人工智能学院,https://b23.tv/mall-GCP385LF1-6wnGZ 👈👈👈点击蓝色字体免费获取完整资料,Unknown IP
2,wzgy,等等，这不飞天闪客的作品么[思考],浙江
3,风丶Amour,五天了，第十集呢,上海
4,XKQllll,飞天闪客的视频怎么成你的了？还卖课？,江苏
5,华盛顿end,明显抄袭，离谱，飞天闪客半年前就发布了。。。,四川
6,码界鸠摩智,叫是非常好[支持],福建
7,一只猫momo,学校老师都讲过，但感觉还是半懂的,广西
8,sand-lxn,博主牛，讲得特别浅显易懂。你用的可视化工具是啥呀，就是视频中演示的那种,陕西
9,我能看见你哦,这个视频太牛了，通俗易懂！,四川
10,不会开船的包子,老登，速更，硬币用不完了[滑稽],河南
11,upzhang,牛逼,福建
12,D24-8,通过训练数据调整网络函数？然后使用的时候直接能预测？,北京
13,moer_study,https://poloclub.github.io/transformer-explainer/,天津
14,哔哩大模型学院,666 真的是通俗易懂呀，真是宝藏up主[喜欢],安徽
15,条野太郎x,残差网络和加速收敛可以展开说说,广东
16,讲AI的薯条学姐,这么好的视频为什么不火🔥🔥🔥,安徽
17,whealther,我很想知道这个视频里的动画是用什么软件做的,湖南
18,jackiewang3221,讲的太好了，通俗易懂。[支持],山西
19,神盾局0号,朋友们，有个地方没看懂。为啥输入是K V，输出是Q啊？难道不是输入去寻找问询（Q）最合适的输出吗？,江苏
20,晓兔,听着听着一个不留神就听不懂了,重庆
21,catkeeper1,这一集已经看不懂了。,广东
22,silalong,这界面是什么东西？,云南
23,名字又被起了啊,催更！！！！,广东
24,铁马金戈麦斯,很好的视频，已三连催更一下~,浙江
25,噗子缇,想睡觉💤,四川
26,苍狼-嗷嗷叫,所以说各种大公司烧算力卡，烧电，就是为了那个权重文件，可以这么理解吗,广东
27,whindson,另外为什么现在所有人都在建数据中心？就是因为需要海量的数据进行训练，这个海量数据是大家永远想象不到的，一旦有人真把ai训练完善了，西部世界就是人类的结局,福建
28,whindson,所以说现在所有的ai都是垃圾，因为训练数据是有限的，他只能通过这些有限的数据大概猜出有限的所谓正确结果，从语言学上看，一个句子在不同语境，有些语境甚至是和语言无关的，所表达的意义是完全不同的。最简单例子，机翻永远都是垃圾，永远做不到完美，因为有些语句你必须看完全片才能理解,福建
29,咯噔先森Goldman,下一讲会讲qkv吗,宁夏
30,夜---枭,别盗视频[笑哭],宁夏
31,婶没装好吗,天啊，这么简单易懂，做的太好了,山西
32,榴莲Studio,我是草履虫,河南
33,越来越胖的小海豹,有一个问题想请教up，整个算法流程我都知道是什么细节，但是我不清楚为什么一定要分qkv三种不同向量来计算注意力。直接让qkv三个向量相等不行吗？如果类比人的话，直接根据具体内容查询信息确实代价太大了，确实应该根据标签来查询信息，但是放到注意力机制的这个数学模型上来看，不论分不分qkv都是用两个向量点积来算注意力权重，代价应该是一样的呀,山东
34,西风不动剑,讲的实在太好了,四川
35,巡林员木头,“没发现吧”......UP好皮呀[滑稽],浙江
36,Dijkstra-1956,打卡,安徽
37,黑白红橙黄绿蓝,我草履虫 学会了！感谢！,北京
38,smilezhulin,transformer还是不懂,广东
39,山洞哥布林大王,讲的好牛逼,浙江
40,哪壶不开提哪壶呢,脑子死在第二集,河南
41,黑白红橙黄绿蓝,3:11 公式中，（3-4w）是不是写错了？ 应该是（4-4w）吧？,北京
42,呼呼的B站昵称,催更催更,北京
43,梁老斯,请教一下，隐藏层的这些函数是怎么来的？黑盒子吗？,上海
44,Blossomance,up可以出一期视频讲解这个attention的论文吗！,北京
45,超心酸的小学生,催更催更，年别过了，快来加班,海南
46,云或海,速更速更[打call][打call],陕西
47,虾人瞎梦,期待下一节[打call],山东
48,HYLXKD,tql[星星眼],广东
49,Ruoning88,感觉神经网络防止过拟合和xgboost差不多，都是early stopping，regularization，还有通过colsample by tree和subsample调节随机选取多少变量和数据行数.,北京
50,玖哇哇01,牛，好好玩,广西
