Index,User_ID,Content,IP
1,叶子の屋子,对了 这个课，讲的速度巨快，而且要记得东西巨多，你没听过或者刚学不懂，需要多花将近3倍时间去了解，算是不面向幼儿级别的难度，算是面向那些不强求理解，但是会用的人。,广东
2,会AI的哈利波特,有课件源码笔记哦！,湖南
3,James大梦,这不是在讲课，是在帮你复习你学过的这些高数概念,上海
4,西北老汉棒棒糖,下山的例子有点不太合适呀：选择方向导数最大，也就是梯度的方向，那不就是跳崖吗？,广东
5,柒夏995,已三连，求分享笔记,北京
6,凌岐峰,三连求资料[OK],海南
7,如月瑞雨,讲的挺全的，至少比较适合有数学基础的小白入门人工智能。有些地方可能没讲清楚，自己搜一搜也能弄懂。比那些上来就甩一堆概念和专有名词的课程好很多。,河北
8,阿咩能猫,求资料,广东
9,星空-随梦逐流,求课件笔记[爱心],辽宁
10,Bianwy025,太给力了，很需要这样的课程。请问有配套的课件和源码吗？,江苏
11,小猪_123,求笔记资料,湖北
12,闪电蝗虫,已三连，求资料,辽宁
13,Jack_palace,求资料,广西
14,小王子在攒钱,已三连求ppt,湖北
15,bili_3546376279427455,求资料,山东
16,bili_73079774986,求资料[呲牙],山东
17,週沫,大佬，求求资料，万分感谢[保佑][保佑][保佑],四川
18,汪汪队_www,已三连，求资料[打call],陕西
19,我准备了炸肉条,已三连，求资料,中国香港
20,南风入弦____,求资料，好人一生平安！,北京
21,patrickhsia,评论【求资料】,中国台湾
22,16_HIGH,这个对出社会的小朋友友好么？,广东
23,格子间421,已三连，求资料,安徽
24,Xixizi西溪子,求资料,陕西
25,露禾的念想,求资料,重庆
26,wdb800915,求课件，都忘完了。不知道能不能捡起来[大哭],安徽
27,破舟鬼,求资料[大哭],北京
28,码上_家族,求资料 [抱拳][抱拳],广东
29,二林0xcoolx,求资料,中国台湾
30,飞白12,已完成，求资料,河北
31,hanxinyan1,求资料,福建
32,两年的假期,求资料,重庆
33,伽百力,已三连，求资料,山西
34,霜_雪明,求资料，已三连,河南
35,Max讷讷,求资料已三连,北京
36,黄昏的眼睛,求课件源码资料,安徽
37,墨漾平芜,已三连求,江西
38,橘子屿猫丶,求资料,上海
39,langganpan,求资料,山东
40,michael_linux,已完成，求资料,河南
41,Stevenfx,求资料,上海
42,橘子的奶酪,求资料,四川
43,南王在此,求资料，已三连,江苏
44,赫呵123,已三连 求资料,内蒙古
45,伊斯利,求资料,辽宁
46,三岁杠杠,求资料！,广东
47,星光璀璨不负你,求资料,河南
48,bili_71433566466,已三连，求资料[抱拳],江苏
49,bili_59406334707,求资料,广西
50,论名字的正确取法,求资料[拜年纪2022_摸鱼],北京
