Index,User_ID,Content,IP
1,HainL_,搞不懂举报的人是啥心态[捂脸],重庆
2,孤独单,给举报后，我的进度又没了，[热][热][热],安徽
3,最爱吃的辣条是林妹妹,微积分已经重新发出来了，可以继续学习啦~~,湖南
4,白身书生,P1-4 The big picture of Calculus Calculus is about the connection between Fun...,Unknown IP
5,如鲸向海Z,哦豁，，第一节课最后几分钟听了两遍都没懂，看来我与数学无缘[doge],四川
6,prtsc2023,"吉尔伯特-斯特朗 ,数学家，1934年出生，在麻省理工任教，现任职于b站大学，教我微积分 换句话说，我就是数学家吉尔伯特-斯特朗的弟子，也是麻省理工的一名学生[吃瓜]",浙江
7,头像是谁我是谁,英语好的话可以直接去官网看，还有配套的书资料和练习题。英语不是特别好也不影响，一些专有名词听老师多说几遍就记熟了,江苏
8,更不会起名了,为啥老被举报[笑哭],广东
9,花椒陈皮大料,第一，这要是没有点基础的话 还是会同不懂的 。第二，感觉美国的大学数学这个好像就是我们高中理科学的东西但是可能要稍微深一点。第三，有点基础是很好理解他说的，但是因为我们习惯了我们中国的教师教的数学，所以感觉中国的教师教的可能会更加的舒服一些。第四，因为我们有基础已经被高中的老师教会一部分，所以能在听得懂外国的教授的前提下，自己觉得外国的教授可能会教的更有意思，更实用，我们的中国的老师可是不会告诉我们这些东西到底有什么用，这位外国教授很生动，因为很多次我在看得时候都是有恍然大悟的感觉，啊，原来那个sinx的倒数是那么来的，就是他的斜率绘制成的导数竟然是cosx，我们老师就只是直接告诉我们结果，并不会给我们推到是什么看过程，所以心里并不知道这到底是为什么，经过对数学的深入学习，感觉原来在这些乱七八糟的什么数学符号什么的，或者什么对数函数幂函数指数函数普通函数等等或者各种定理，或者其他的什么斜率化成的数学，都是人们制造出来的，我们学的比较深的数学在普通的生活中是没有用的，但是在那些高精尖领域中确实非常有用的。原理这就是数学与物理化学生物仅仅相关。,黑龙江
10,中年亦少女,年近半百的老阿姨表示这个教授讲得好，好在把阿姨都教会了,上海
11,陶皮捣蛋,这都有人举报。。。什么心态,江西
12,洒家娇羞,发现了一件有趣的事情，集数与正在观看人数成反比[doge],四川
13,冲锋特困生,收藏夹里多了个失效视频[热词系列_破防了],安徽
14,清流涧石,这老头讲的很好，很像我初中的一个老师。国内数学讲的大多太枯燥，几乎脱离了实际应用，上来就是讲定义，背公式，不解释，无聊的段子，忒乏味。,河南
15,孤径,学完了，怅然若失，Strang教授去年从MIT退休，今年已89岁高龄。我空有对MIT的执念与远大志向，现今只是身处底层985大学非理工专业的庸才。尽管如此，衷心希望此生能亲身会面教授，感谢他对无数学生的传道受业，对数学领域的杰出贡献。 感谢Mr. Strang，感谢MIT，感谢翻译组。Mens et Manus.,甘肃
16,天上掉下个胖香蕉,请问看这个可以考过大一考试吗？我已经挂了很多次了，从函数、极限考到不定积分那里，虚心求教，谢谢,河南
17,柳树下的大只榴莲,看到弹幕初高中的宝宝们，心里真的由衷叹息：自己上初高中的时候哪儿有在B站学习的意识呀……前面两个视频对于学了俩学期的大学生还是太简单了，希望自己能坚持到后面））））,江苏
18,来叫阿姨ya,@仓鼠秋秋 我看完了，我会了，真好玩儿[doge],广东
19,Lux_auras,大家尽量不要点赞（收藏应该没问题）...推荐的多了挂的风险比较大,北京
20,野生刀客的豹猫,我一个高中生太飘了，刷到这视频[藏狐],山西
21,Hiryoungsigres,在线求笔记和配套书籍,陕西
22,寒星官人,为什么要被举报，老师都说了，希望任何人都能看到这个视频啊,重庆
23,优质水you,我来学英语,黑龙江
24,花在今朝,娘胎里学微积分正常吗,黑龙江
25,BlackFlameOrion,老先生好幽默，一堂课能让我笑好几次。[微笑]  如果他也知道我笑了就好了，那是观众对他最大的尊重。,云南
26,AI视频小助理,本视频讲述了麻省理工学院数学教授吉尔伯特·斯特朗的微积分亮点视频项目。这些短视频旨在帮助学生掌握微积分的关键概念，而不需要大量的教科书和课堂练习。视频由洛德基金会资助，旨在促进免费和开放的麻省理工学院教育。--以上内容由AI视频小助理生成，关注解锁AI助理，由@Steady85 召唤发送,上海
27,真的老了还是,有没有人解释下这套课程适合怎样背景的人学习微积分？,浙江
28,bili_24075575172,外国的数学教学一直注重原理推导，“讲究我是谁，我怎么来”，我们的数学一直注重如何通过考试，不知道怎么来的，就知道结论了。,广东
29,LittleSun_bili,25年来的，还有配套书籍吗？[给心心][给心心][给心心],山东
30,卟离卟离左卫门,又双叒叕找到了[保卫萝卜_哭哭][保卫萝卜_哭哭],甘肃
