Index,User_ID,Content,IP
1,黑马程序员,大牛讲师带你快速成为AI 时代的高薪人才，原价598元入门试学课，限时仅售28元！https://b23.tv/cm-cmt-1-1RYMG,北京
2,滕小凡,要记笔记呀兄弟们~,山东
3,gcvgr,4．第4章 - Python项目实战之爬虫 5．第5章 - Python项目实战之数据分析与可视化 6．第6章 -Python项目实战之Web开发 这些什么时候发布呀,天津
4,幻沫l,22年的也有一门python，新手想学python是跟着 这个新视频学就行还是看原来的啊，好多视频真的眼花缭乱,山东
5,GuAZ1-,已学完，说一下自己的感悟： 1、教学重难点突出，板书条理清晰。教学步骤设计合理，由浅入深，循序渐进。 2、教师基本功扎实，知识讲解准确，教学设计合理，始终以学生为主体，自主学习，小组交流讨论，上台交流展示等形式，师生配合默契，取得了较好的学习效果。 3、教师教态自然，语调亲切，并不断鼓励学生，充分发挥学生的主体作用。使学生在和谐融洽的课堂氛围中学习，推进了知识的掌握和智力的发展，达到了良好的教学效果。 4、教师准确的把握了设疑的方向，调动了学生学习的兴趣，使学生进入积极的的思维状态。 5、教师组织课堂教学效果好，语言清晰，能注重学法指导，培养学生的创新能力，问题设计富有启发性。 6、教学环节设计安排清晰明了，过渡自然。,河北
6,上弦月xfk,涛哥，课程PPT资源啥时候开放领取呀,上海
7,夏日祭的dola宏,不想扫码关注微信号然后又保存网盘的，讲义地址拿走不谢，https://heuqqdmbyk.feishu.cn/wiki/space/7562115166810750995?ccm_open_type=lark_wiki_spaceLink&amp;open_tab_from=wiki_home,海南
8,镜-瑜,什么这个老师不是Javaweb那个老师么，那个课讲的非常好，没想到也能教Python啊[吃瓜][吃瓜][吃瓜],天津
9,绝对竞渡,2025.12.16开始速刷！,贵州
10,SZH欲往,讲义在哪里呀,江苏
11,空巷KBvile,涛哥牛b，又更新了,北京
12,浮云起时_,和这个BV1h1VbzHER2的区别是什么,辽宁
13,怪蜀黍桑,开始学习，希望早日出师，脱离工地苦海[奋斗],江苏
14,哇_这里有wifi耶,交作业。。。,广东
15,Pioneer土,今天刚开始看 看完了五集 为什么我打开下载好的pycharm会有这个显示咧 我明明跟着视频先下载好了python啊 是因为python版本不够新吗[大哭],广东
16,高冷布神,87集以后还更新嘛[蹲蹲],安徽
17,只吃榴莲好吗,打卡第二天[打call][打call],广东
18,--学无止境---,哪里有课件啊,天津
19,只吃榴莲好吗,这个课真的不错，跟完第一章能写一点点的代码真的好开心，虽然非常简单，但是很大程度刺激了我的兴趣！！！！感谢🙏期待后续课程[给心心]打卡第一天,广东
20,Emerson_大熊,交作业啦,广东
21,夏日祭的dola宏,不想扫码关注微信号然后又保存网盘的，讲义地址拿走不谢，https://heuqqdmbyk.feishu.cn/wiki/space/7562115166810750995?ccm_open_type=lark_wiki_spaceLink&amp;open_tab_from=wiki_home,海南
22,Loganliu123,有么有一起看函数基础的，给我点赞，一起加油！,北京
23,最炫民族风hh,求资料,广东
24,遗失de永恒,涛哥牛逼得不要不要的[支持],广东
25,乘舟渡沧海,黑马🐂🍺，刚好需要这些。[星星眼],湖南
26,几分欢喜N,哇塞，刚打开就看到出新的了，太棒了[星星眼],北京
27,枫落柳谢,第二章 python核心语法 01.字面量 布尔（bool） true真 false假 相当于数学中真假命题  布尔类首字母必须大写 字符串必须使用双引号...,湖南
28,零点十分v110,剩下章节什么时候更新,福建
29,DaHu很想认真摸鱼qwq,能开两个专题深入讲讲python的并发编程和网络编程吗,江苏
30,7773497,学完了，讲的很好,辽宁
31,金丝柳换星摇,想问一下各位，本人初学者，经常存在概念记不清，学到后面忘前面，记不住用法这种问题，想问一下各位都是怎么学的。是多敲代码，还是做做笔记,山东
32,怎奈余念难安,啥时候更新啊[微笑],河北
33,冬夜雪村,一共有多少集啊,广东
34,吴思畅,老师，第三章什么时候更新@黑马程序员@黑马--涛哥[抱拳],广东
35,米兰达达625,安装文档链接在哪里,上海
36,B麟B0,怎么领取视频资料,江西
37,稻香美美哒,"你好没有python+ai的配套资料,加了两个客服了,没有回应,我从哪里找这个的文档资料,谢谢",陕西
38,hdkndjskf,资料领了，但是找不到作业答案欸,福建
39,kung-fu熊猫,讲义在哪，有uu知道的话麻烦说一声，感谢,湖南
40,贫困使我浪迹网盘,已三连求资料,河南
41,东坡熊猫,请问有课件或者ppt可以下载吗,上海
42,kayamajp,"求课程的资料,让我加这个企业号,又让我加那个微信,最后引导到花钱付费里了.这是为什么啊.",日本
43,哈jim咪,找不到在线文档啊,广东
44,小陈窃卡,申请通过一下我的阅读权限[doge],天津
45,メLG,老师教太好了[星星眼] 但就是那个资源我领取不了[大哭] 因为是在国外 进那个小程序得绑中国手机号 一些在资源里的练习答案 我只能复制练习和我写的答案去问ai对不对[灵魂出窍],缅甸
46,怎一个V丶,请问这个讲义在哪领取,湖南
47,_龍傲天_,这个课程的配套资料为什么没有笔记啊,贵州
48,爱吃西瓜肉-,讲义进不去[委屈],湖南
49,大李子olo,第六天,贵州
50,Reacher㔿,大一智能科学与技术专业寒假预习中,北京
