Index,User_ID,Content,IP
1,吃山楂糕不吃山楂球,四月份收到入组通知以后，我就在b站一直寻找强化学习的基础课程，强化学习的概念很多，对于初学者门槛很高，从理论到实践有着巨大的跨越，而如果想要实践，更离不开理论的支撑，还好我找到了赵老师讲的这门课程，从理论到数学分析，都逻辑清晰，第一遍听的时候不由自主感慨牛批，第二遍听的时候会突然理解了第一遍听的时候不懂的地方，如醍醐灌顶。虽然暂时我还没有在强化学习与pytorch结合实践的这方面跨出去太远，但只能说，有着赵老师教给我的理论支撑，熟练应用基础算法这一天不会太远，而希望在自己的研究方向前进一步的这一天也不会太远。感谢赵老师[打call],吉林
2,余温不温不暖,学了大概一个星期，现在在视频41。我是做多智能体强化学习方向的，第一次接触强化学习，整体看下来老师讲的非常好，循序渐进环环相扣。我也花了大量的时间来看，虽然可能一个视频我会反复看，但是还是跟老师说的那样为了入门打好一个扎实基础。并且用markdown每章都认真记了笔记。反正感触挺深的，希望年底之前学完。提前祝赵老师新年快乐！[爱心],江西
3,西湖大学WindyLab,我们课程的全部内容已经制作完成！感谢那些认真学习这门课程的同学们，因为你们的认真的学习是对我的时间和精力的付出最好的回报，希望这门课程能够扎扎实实地帮助到大家。——赵世钰,浙江
4,颜筱惜,同为一名高校老师，我把赵老师这门课推荐给了我的学生们，大家都说赵老师的课是他们听过的里面讲的最清楚的，向赵老师所付出的时间和精力致敬！,陕西
5,西湖大学WindyLab,《强化学习的数学原理》“中文版”已经由清华大学出版社出版，“预售”已经上线京东、天猫、淘宝、当当网等平台，敬请关注！！注意“蓝色”是中文版，区别于“红色”的英文版。本书在GitHub揽星7.8K，视频全网播放超过140万！！,浙江
6,西湖大学WindyLab,《强化学习的数学原理》的“中文版”现在在最后的校对和出版阶段，预计3月中旬由清华大学出版社正式出版发行，敬请期待！！另外，本书的英文版在GitHub已经获得超5000星！！,浙江
7,西湖大学WindyLab,《强化学习的数学原理》的“中文版”：有一些同学这两天私信什么时候出版，根据清华出版社的反馈，下周初安排印刷，预计3月底上线购物网站，敬请期待！！另外，本书的英文版在GitHub已经获得超7000星！！,浙江
8,RLGamer,给后面想实现代码的同学一些经验，老师伪代码里面的policy improvement 是可以放到循环外的，这个不是“不收敛”的决定因素。我写代码一开始没看伪代码写，一直都是写在外面，都收敛的。一直写到MC exploring starts，调试了一整天都收敛不了，对比伪代码（各个大神的代码）才找到了这个不同点。不过这个写在在外面依旧不是“不收敛”的关键，而是MC算法的收敛性极其依赖于trajectory的长度，5*5的gridworld，设置trajectory长度为20都难以收敛，写到100就之后就随便收敛了,广东
9,想去西藏呀,赵老师在国内强化学习领域种了一颗种子,山西
10,西湖大学WindyLab,《强化学习的数学原理》在中国大学慕课的第三次开课已经开始：https://www.icourse163.org/course/XHUN-1470436188  →时间：第三次开课时间为2024年10月15日至2025年1月15日。 →论坛：如果大家有和本课程相关的问题欢迎在慕课的论坛提问，我会尽量及时与大家交流。本课程的论坛已经积累了大量问答讨论，欢迎大家查看并参与其中。 →前两次：前两次开课分别是在2024.02-2024.05和2024.06-2024.09，每次开课有超过1300+人学习。本课程开课时间相比平台其他课程较短，每年会有至少三次开课，从而方便大家认证学习。 →认证：开课之后即可参加学习和答题，在本次开课结束后，如果大家的考核结果为优秀或者合格，就会获得优秀或者合格证书。  欢迎大家问答交流、答题考核、证书认证！,浙江
11,西湖大学WindyLab,招生启事：我正在招收2024年秋季的博士研究生，方向是控制与决策（基于控制理论、强化学习、或大模型）及其在机器人上的应用。欢迎具有自动控制、强化学习等背景的同学联系我。一般来说，申请人应该具有优秀的教育背景、良好的科研经历、一定的研究成果，有较强的理论研究兴趣。欢迎给我写邮件发送你的简历和研究成果，因为邮件可能较多，只有比较合适的会进一步联系，谢谢。——赵世钰,浙江
12,西湖大学WindyLab,各位同学，随着越来越多的同学关注到这门课程，已经有同学开始在留言中提问。如果该问题是与课程直接相关的、并且可以简短回答的，我会抽空回答。更多的讨论，因为时间的关系我无法参与，还请见谅。也欢迎有能力的同学帮忙回答。不过请不要在评论区进行无意义的争论，影响他人学习。谢谢。——赵世钰,浙江
13,西湖大学WindyLab,《强化学习的数学原理》在中国大学慕课第2次开课已经结束，持续时间是从2024年6月20日到2024年9月30日。这次课一共有1486位同学参与学习。其中有336人参加考核，最终有34人获得优秀、20人获得合格，优秀率10.1%[打call]（与第1次开课的优秀率持平），其中有14位同学获得了满分100分[支持]。祝贺这些认真学习的同学！  在平台审核完成绩之后，获得合格和优秀的同学可以在系统当中提交申请认证证书。过一段时间会开始第3次的授课（本课程相比其它慕课课程的学期更短，而且停课间隙短，每年会有更多的学期，从而方便大家学习和认证）。欢迎大家参与答题、讨论、认证。  2024年10月2日,浙江
14,西湖大学WindyLab,关于本课程的论坛：一直以来都有同学问起论坛或者社区的事情，如果能够有这样一个论坛和社区其实是非常好的，不过我一直找不到合适的形式。最近课程上线了中国大学慕课和学堂在线，我发现那边是有论坛和社区的。经过初步的测试，中国大学慕课可能比学堂在线更方便，它类似于之前BBS发帖的论坛，大家可以提问回答，也可以搜索帖子。目前应该没有比这个更加合适的讨论平台了，大家可以先试一试。我也尽可能去那边回答一下大家的问题，形成一个比较良好的提问和回答的帖子库，供后边的同学学习。,浙江
15,gods_eyev,赵老师讲的太好了！请问下您是怎么学得这么透彻的呢，学习路线是什么样子的呢，最开始您是怎么一步步学习强化学习的，也是看视频吗，还是去看书，我前段时间看了sutton强化学习翻译版，看不懂。还好看到了您的课程。,美国
16,aasinads,这才是真正的国家精品课程！,北京
17,西湖大学WindyLab,课程动态：视频合集B站播放突破30万！（散集+其它网站播放共超70万）[胜利]B站所有强化学习课程中暂列第二！（第一是莫凡）[胜利]英文教材在GitHub突破1.7K星！  很高兴对同学们有帮助，很多提问抱歉我不能一一回复，希望大家有能力的互相解答~  最后，祝大家春节快乐！！,中国香港
18,flmilan,赵老师，您好，反复听了您的课程并阅读了您的书稿，收获非常大。整个课程和书稿循序渐进，理论结合实际，通过一个很简单的Grid World场景把RL讲得比较透彻。我个人的感受：如果能够在课程中引入一些其他的场景示例，可能更有助于学习者理解，毕竟Grid World这个例子还是有一些确定性，在理解不确定性模型的时候，对照Grid World去思考总是有一些出戏。另外，DQN部分您书中提到的用了一层隐藏层，全连接，100个神经元，我按照这个写测试代码使用ReLU激活发现并不收敛，不知道您激活函数用的是哪个。后来我用两个隐藏层，全连接，每层16个神经元，第一层用Cos激活，第二层用Sin激活，收敛比较快（个人感觉仿佛做了一个傅立叶拟合）。期待您能够进一步完善书稿，并且带给RL爱好者更多的课程分享。,湖北
19,西湖大学WindyLab,经过紧锣密鼓大量的工作，《强化学习的数学原理》的第二版草稿已经正式上线！！  一年前（2022年8月），书的第一版草稿上线GitHub。 一年来，收到了世界各地国内外读者的不少反馈。   相比第一版，第二版在许多方面有不少改进，例如我们修正了一些错别字、改进了许多内容的呈现方式、重新绘制了图片等等。  更重要的是第一版中没有的Chapter 10也终于面世了，过去许多读者都在询问这一章。  第二版已经几近正式出版的版本。希望能够更好的帮助大家学习强化学习！  第二版GitHub地址：https://github.com/MathFoundationRL/Book-Mathmatical-Foundation-of-Reinforcement-Learning,浙江
