Index,User_ID,Content,IP
1,非著名的程序猿,毕业25年的大学生来复习了[笑哭],浙江
2,人工智能学习指南,新人在线报道！ 期待你的三连支持！,湖南
3,国家一级训猴师,凭本事刷到的[doge],广东
4,黑月亮2017,这么多人收藏，是想干啥？,浙江
5,潇湘畸零人,千万别删！,湖南
6,speedearest,苏老师很仔细,山东
7,wangyuwei92,刚听几句 就知道是个好老师,陕西
8,異度旅社,要睡觉了，马上开始放。,四川
9,你愁啥0瞅你咋地,凭实力刷到，，，真的看5个小时,河南
10,诗经豳风,凭实力刷到的[呲牙],陕西
11,天上的街市与月光,3连,重庆
12,gysghys,考研看这个打基础可以吗,云南
13,别打烊,太高深了吧！,安徽
14,比例强,误闯宝地。。。。再见,安徽
15,风的名字2018,睡不着，看这个,陕西
16,探客采文,来喽[打call][打call][打call],黑龙江
17,刚_728,UP主加油！看好你噢~,Unknown IP
18,明明看见了天天,UP主加油！看好你噢~,Unknown IP
19,波普星的来客,UP主加油！看好你噢~,Unknown IP
20,chulufeng,除了这门课的名字，其余都不记得了,江苏
21,bili_86781053926,失眠好严重，认真看希望能睡着[笑哭],上海
22,gl-June,高中水平能听懂吗？,山东
23,高冷小帅007,兄弟太实诚了,湖北
24,人工智能学习指南,学习路线图/系统课程学习/论文/就业指导,湖南
25,相信胜利,老师讲得真好！,山西
26,聆工明,来了来了，支持,上海
27,延陵有宝剑,确实如此,江苏
28,迷蝶晓梦1,这是哪本书,河北
29,欧阳Nick,cy,上海
30,Queen-太子爷,@晓林熙熙,江西
31,ppig_mk2,单声道有点难受。。,重庆
32,YOUBA,左边声道没声音,河北
33,琉璃紫月盏,[原神_欸嘿],河北
