Index,User_ID,Content,IP
1,种颗牙齿来啃瓜,以后，懂AI的和不懂AI的，会不会比读书的和文盲差别还大[捂脸],湖南
2,xX_Geonomy_Xx,就说这个视频是零基础的吗？我本来想看看学习ai需要先学什么语言，比如c还是Python但是快进了一会都没有涉及。有好心人给我讲一下呗,广东
3,原来是勒勒呀,Agent(智能体)： 	Memory(记忆) 	Planning(规划) 	Action(执行) 	Tools(工具使用),广东
4,请不要拉稀摆带,台式电脑什么配置，多久能学会,贵州
5,东海龙王193287,加强AI学习 才能把握未来 发展才是硬道理,四川
6,奶酪moonlight,想问一下学完，可以独立开发一个轻量模型嘛，就是学校的小项目,北京
7,fistingandgiveup,UP主您好，目前我是大一学生，在学校主要是在acm实验室做算法竞赛，刚不久辅导员要我做＂人工智能+＂的项目，但是我对项目没有思路，最近看到了你的视频讲的挺好，我也一直在学习，因为时间紧迫有点迷茫并且我没有项目经验，我想请教这个项目的大体流程和学习建议，劳烦指导[抱拳][抱拳][抱拳],湖北
8,三秒钟记忆里的你,请问国内是不是现在不允许访问openai的接口服务了？,北京
9,大模型官方课程,系统学习+学习路线+实战项目+电子书+问题解答[保卫萝卜_笔芯] 自取👉👉【https://www.bilibili.com/read/cv42170024/?jump_opus=1】,湖南
10,鱼与飞鸟和驴,笔记本推荐什么配置,河南
11,鲜嫩多汁的小菊花,我只想卷死各位 或者被在座各位卷死 [阴险],上海
12,布拉格小母鸡69,需要什么配置的电脑？请问，谢谢,广东
13,小蓝2,想问一下UP，零经验转行建议自学还是报课呢，报课的话有没有推荐的靠谱培训机构。,山东
14,一堆虎,老师你好  有没有教本地部署大模型 进行微调的教程,浙江
15,大模型官方课程,系统学习+学习路线+实战项目+电子书+问题解答[保卫萝卜_笔芯] 自取👉👉【https://www.bilibili.com/read/cv42170024/?jump_opus=1】,湖南
16,大模型官方课程,系统学习+学习路线+实战项目+电子书+问题解答[哭哭] 自取👉👉【https://www.bilibili.com/read/cv40810888/?jump_opus=1】,湖南
17,spongeWAWA,一天2倍速+疯狂跳过看完了全部，帮助很大，感谢大佬,广东
18,大模型官方课程,系统学习+学习路线+实战项目+电子书+问题解答[哭哭] 自取👉👉【https://www.bilibili.com/read/cv40810888】,湖南
19,智琪米米,想转行，40岁开始学习可以吗？,广东
20,知幻N,我想问问，英语完全看不懂的能学明白不,重庆
21,脸像一个大茄子,666 求资料帅哥[星星眼],辽宁
22,zccxqzzcx,想问下UP，代码零基础能学习这套课程吗？,上海
23,hadiBili,博主讲的挺好的，节奏更快些，和一些点能够深入就更好了。,广东
24,淋雨的记者,个人的硬件可以训练大模型吗,江苏
25,不能说的secret01,使用的是云服务器来跑项目，把源码下下来，本地计算机可以跑吗？地址就用localhost加端口号,上海
26,一片蓝天大海,求Agent数字人代码,安徽
27,07txia18,我也是学习的java语言，现在开始学习这个，是否需要提前自学python基础？还是说跟着你的视频里的python基础学也没问题啊？,广东
28,小缨亦酱,没学过本科数学（线性代数啥的）能学么,河北
29,他叫华晨宇-,2025-09-01 开始学习！！！,北京
30,小黄小黄-,我hjq实名学习,辽宁
31,大Sayolar,666，999。正面反面一起6,北京
32,EGLAnAn,666,浙江
33,HfeiHUI,666,广东
34,谦谦熊猫,666求资料,吉林
35,雍千雅,666,陕西
36,liontianhao,666,山西
37,达菲不是猫,666，已三连，求分享资料,四川
38,兔兔是涂银,666,海南
39,琦罡明风,666，求资料已经三连,天津
40,流浪无心,666，求材料,江苏
41,吴铭2022,666求资料,浙江
42,柚子柚子柚子子1234567,666我要我要我全都要！对了，我数学超级差，可能高中毕业就再也没学过了，咱们还有机会学嘛[辣眼睛][辣眼睛][辣眼睛][辣眼睛],上海
43,刘阿斯凯奇,没有Linux只有windows怎么办,辽宁
44,bili_23041257090,学历大专能学吗,辽宁
45,疯狂的jack,请问是持续更新么？,天津
46,大模型官方课程,学大模型东看西看没头绪？[兔兔岛_睡觉]这里有梳理好的材料和一对一规划学习路径[三花猫] 👉👉【https://www.bilibili.com/read/cv42170222/?jump_opus=1】帮你避开无效努力，少走弯路～[桃源_乖巧],湖南
47,房东的羊_,666,广东
48,你多食油饼,666,湖南
49,诺爷2013,666,浙江
50,你说啥名字好啊,666,湖南
