Index,User_ID,Content,IP
1,清风明月快上茶,仅仅是个应用自动化的插件罢了，而且数据库自动化都没几个,内蒙古
2,巴蒂庞,明白了 森马的衣服照片和直播间的衣物展示 都是AI生成的 都是假的 大家避坑,北京
3,琉羽啊,听起来大部分自动化其实都是程序化，而不是ai大模型来做，标题太误导了,北京
4,这个单位不存在,对企业是大的提升，对员工，是大批量的裁员,陕西
5,哎我就知道嗯哼,芜湖这样下去消费端持续萎靡[喜极而泣][喜极而泣]机器人，ai越来越饮鸩渴了。分配体系不改回旋镖迟早砸到社达头上,江苏
6,今晚打老虎wf,这公司森马大股东，等于现有数字营销等升级了。你要纯技术公司，看人家给不给你单。[doge],四川
7,清风明月快上茶,N年前，你们还没用过没听说过AI的时候，我用py爬网页，然后通过自己写的数据结构存储，通过代码自动化调取，再做完整点，设定一个接口设计一个前端，然后调取数据，自动运行某些程序流，这东西，很先进吗？ 你看我的关注和收藏，都是我当时爬的哔站的，我需要的一些东西，十几万了吧，我现在还在研究精准删除，只是我懒，分解分类没细作而已[吃瓜] 我还有一个盘，500G的小说，也是这么爬的，这叫自动化工作流，不算AI技术，没有匹配真正的机器学习。,内蒙古
8,考拉今天也在睡觉,等一下直播ai化的意义是？顾客看不到产品实物不就是诈骗吗？,浙江
9,式部x帆夏,没有一个技术是自己的，搭了个环境就可以开始吹牛逼等融资了,广东
10,墨浪花,RPA本质上离AI还很远呢。RPA本质上还是网页元素定位模拟人类操作鼠标和键盘。还是一套预设的固定逻辑程序。如果是AI agent成熟，未来直接通过API就可以直接操作了，甚至连前端网页都不需要打开，操作直接在服务器端就直接完成了。RPA的开发甚至不需要什么编程基础，有程序化思维的人就可以直接上手开发，我就是这种情况，没有程序开发经验，现在已经开发了几十套RPA程序来替代公司的业务工作了，如果配合AI写一些复杂的Python脚本，可以事半功倍。但是我个人觉得RPA未来被AI agent替代是大势所趋，ai agent比现在的RPA也更加灵活,安徽
11,bili_90660019582,这人不会也是ai的吧？不在一个图层,广东
12,草地和星空,很多人只看到了ai的进步，但AI带来的失业问题，其实非常严重。而且会越来越严重。,四川
13,一位菜鸟的心路历程,这不会是跑脚本的吧。。。。。,黑龙江
14,鸿沫,想知道因为使用国外的AI会不会造成国内经营数据的外流？另外，想知道因此优化了多少员工？,北京
15,调音主理人,人已经没有价值了。作为人已被AI替代，没有工作岗位，赚不到钱，也没有消费了，只能作为动物活着。剩下的就看.AI想不想让人类继续存在了。,新疆
16,小虫-叶子,现在靠点边都想叫ai，我们工程公司老是想ai算量,江苏
17,Burgunddy,从购买者的角度来看这会不会是虚假宣传 因为所有东西都是ai出来的 包括它现场做一些质量测试还有口头保障,浙江
18,吴辰彦,RPA技术，变成AI数字员工了,上海
19,cityseeker,现在写满了自傲，实际就是给未来埋下的大雷。或许就如评论区说的，你让ai做的工，以后就让ai去买吧，别找人去购买。,天津
20,栈斗鹅plus,电诈的可开心了，分分钟搞定你的自动化[doge][doge][doge],四川
