Index,User_ID,Content,IP
1,鹿萌萌与lu,原来只会点Ps基础的操作，感觉作图好难，学完ai，感觉ai是神[大笑]之前想做却做不出来的图形，都能做到了，谢谢老师的免费教学[爱心],辽宁
2,诺尔先知,我把选择工具的小船给做出来了[doge_金箍],广东
3,即梦AI视频制作教程-,视频配套宿材，点这里https://www.bilibili.com/read/cv27291889/?spm_id_from=333.999.0.0 [热词系列_三连][热词系列_三连]留言“666”，可能会快速通过噢[打call][打call],湖南
4,䥲の,如果会了不太熟练，或者不太会，我们就多看几篇就好啦，哈哈[给心心][给心心]也不可能一下子全部都学会的啊，学东西有难有容易的，咱们要有耐心的去多看多练，多摸索摸索就OK的啊，不要灰心我们一定行，学东西要的是心态，加油！！眼前的陌生人和我，我们一定学会的，相信自己加油呀，学东西是要个过程磨炼才能学会的[打call][打call][打call][打call],广东
5,不要烦我_看心情,交作业[打call][打call],贵州
6,柠檬果实一家人,老师，我不会ps，只是上大学时学过一点儿，毕业20年了，都忘记了，还能够学会这个ai吗,河北
7,我就是追剧狂人,打卡,北京
8,又双叒叕得飞,老师在拍摄教学视频的时候，鼠标移动的同时，是否也按动了键盘呢？不然我只根据视频里的信息完全做不到跟老师视频里一样的效果呢。在第一个视频里的时候,河南
9,我是个胖土豆啊,"全部学完了,多谢老师的教学分享.收获很多,[星星眼][星星眼]",辽宁
10,XHB_1234,老师我想问一下我的ai为啥没有这个呀,陕西
11,暗之骑士团团长-,哦的天啊，一直在找这个ai学习的资源，没想到B站是真的有啊，给三连了！！！( ๑ˊ•̥▵•)੭₎₎,新疆
12,电瓶被偷之苦,老师 能求一下你的桌面壁纸吗 就那个看在钱的份上改吧[tv_大哭],山东
13,哎吆老伙计,ai太难用了,山东
14,希望明天能更好,交个作业，证明我有在努力学,湖北
15,冇猫饼吧,当初学了平面设计软件，做广告狗三四年只用PS和CDR，AI不用就全忘光了现在再来复习,湖南
16,I耽毒I,选中图形后，为啥扩展是灰色的用不了呢？[思考],天津
17,我是91分,老师，为什么我的麦穗画笔有黑色的阴影？,广东
18,锦瑟ac,可爱可爱[星星眼],福建
19,紫竹院盛夏,交一下几何图形的作业[蹲蹲](已投币版),江苏
20,羊村生产大队,在四川  大部分公司都用的cdr,重庆
21,らかさの光,我不会做这个，这个用什么才能做出来,河北
22,一个做泥膜的小罗,在这个知识技能什么都付费的时代，对这种免费放教程的up我都是发自内心的感谢支持。然后点赞关注,贵州
23,Aevyra_月月,不要的部分怎么删除,陕西
24,工藤洗衣机M,你好，up主老师，想问问我的2025版本AI打开之前的文件的时候会显示检查更新有什么影响吗？就像下面这样↓，我一般点击“检查更新”。,广西
25,戴克Dyker,交作业、、、、、,河南
26,李松河怡-,免费的教学，确实有用，老师你是大好人[点赞],安徽
27,Q二狗的状态日常,为什么不能直接向老师一样直接拖动出图片呢，我的版本是2025，不确定下载的是不是正版，应该是的吧，还是因为版本更新不让托了,韩国
28,Z-Y-M-1,有没有大神告知一下，为什么我的麦穗沿着半圆轨迹出来是这个样子[笑哭],河南
29,unclaimedaccount,各位我用了那个白色小鼠标，可是我的软件不能随便改图形，会不会因为软件是2023,江苏
30,梨雪琳,思维导图可以分享吗,上海
31,星晴岚,感觉练习题里最大的问题是每一步为什么这么做不说清楚,陕西
32,贾士扬,请问这个软件可以做3D建模吗,河北
33,donot-wait,工作区的功能比up的少的话，在窗口找工具栏，改成高级就行了[脱单doge],广东
34,孙小瘦123321,老师，请问我的滤色错在哪里啊？,江苏
35,不吃油条2,666 已三连，求分享,黑龙江
36,きみと恋,666，已三连 求老师通过[保佑][保佑][保佑],青海
37,爆炒皮卡丘灬,666,辽宁
38,噼里啪啦小布丁,666,四川
39,橘子酱是柚子,今天开始跟学，感谢up主的免费分享[给心心][给心心][给心心],河南
40,唯爱seanfly,三连了[爱心],北京
41,荨迅,讲的好详细呀,河南
42,橘红并,666,江西
43,星与书1016,学！！,江西
44,ghjfghu,666,湖南
45,梦之奸商,666,广东
46,七吟归鹿,666,河南
47,七夏暖冬,为什么在选择情况下不能和老师一样直接用鼠标放大缩小啊[大哭],山东
48,暴躁的燃气灶,666,四川
49,收集美好自由,在哪里下载新的软件,陕西
50,李-天天,666,北京
