Index,User_ID,Content,IP
1,账号已注销,这么长，up怎么翻译的呀,广东
2,光形,P28在教授眼中中国已经是发达国家了[笑哭],浙江
3,GPT中英字幕课程资源,配套资料链接：https://pan.baidu.com/s/1wajkoYkKurkQBI2MnttTMg?pwd=2cjt,江苏
4,DW8282882,这个人的讲课功底已经超越绝大多数教授讲师了,四川
5,Johnjincaaa,数据（Data）是指对客观事件进行记录并可以鉴别的符号，它是关于客观事物的性质、状态以及相互关系的抽象表示。以下是关于数据的详细解释和分类：  一、数据的定义  1. 数据是事实或观察的结果，是对客观事物的逻辑归纳，用于表示客观事物的未经加工的原始素材。 2. 数据可以是连续的值，如声音、图像，这种数据被称为模拟数据；也可以是离散的，如符号、文字，这种数据被称为数字数据。 3. 数据在计算机系统中以二进制信息单元0、1的形式表示。  二、数据的分类  1. 按性质分类：    - 定位数据：如各种坐标数据。    - 定性数据：表示事物属性的数据，如居民地、河流、道路等。    - 定量数据：反映事物数量特征的数据，如长度、面积、体积等几何量或重量、速度等物理量。    - 定时数据：反映事物时间特性的数据，如年、月、日、时、分、秒等。  2. 按表现形式分类：    - 数字数据：如各种统计或量测数据，它在某个区间内是离散的值。    - 模拟数据：由连续函数组成，在某个区间连续变化的物理量，如声音的大小和温度的变化等，又可以分为图形数据（如点、线、面）、符号数据、文字数据和图像数据等。  三、数据的特性  1. 可识别性：数据是可识别的、抽象的符号。 2. 多样性：数据不仅指狭义上的数字，还可以是具有一定意义的文字、字母、数字符号的组合、图形、图像、视频、音频等。 3. 加工性：数据经过加工后就成为信息，信息是数据的内涵，是对数据进行加工处理之后所得到的并对决策产生影响的数据。  总结来说，数据是信息的表现形式和载体，可以是符号、文字、数字、语音、图像、视频等，而信息是数据的内涵。数据和信息是不可分离的，信息依赖数据来表达，数据则生动具体表达出信息。,广西
6,BB战队队长,我有跟他的合照笑死，来我们学校演讲的时候一群人冲去打卡[脱单doge],澳大利亚
7,酔っ払って密かにハグ,up您好，请问这个课程发布日期是哪一天？（我想了解下内容的时效性对应哪个时间点之前）,北京
8,戈戈巫啦啦,这些大佬不光专业知识厉害，语言也很好~能用很简单的话把复杂的道理讲清楚，太厉害了,广东
9,AI总结视频,课代表总结：吴恩达的《AI for everyone》课程旨在非技术背景人群中普及人工智能知识，教你驾驭AI浪潮。首周课程从拆解炒作开始，建立对AI现实认知，强调AI将深刻影响社会，预计到2030年带来额外的13万亿美元价值。AI影响力无界，覆盖零售、旅游、制造等，甚至触及美发业。介绍了两种AI概念：狭义AI（如智能音箱、自动驾驶）与广义AI（全面智能），前者进步显著，后者进展缓慢，需多项技术突破，可能在几十年、几百年甚至更长时间后实现。课程将教您理解AI能做什么、不能做什么，分析AI成功与失败案例，为准确判断提供依据。课程还包括深度学习介绍，增强对ANI任务处理能力的理解。后续课程将指导AI项目构建和团队建设，以及AI对社会的影响，如就业和经济发展，帮助驾驭AI改变的时代，使您具备领先CEO的AI知识水平。下期视频将深入探讨机器学习概念。 --由@Wintour 召唤发送，其他AI工具点头像自取,江苏
10,追番机,deepseek关于29集的回答[doge],广西
11,重复才是王道,您好，求一份文本资料，视频业余时间不够看，可怜打工人[doge],上海
12,GPT中英字幕课程资源,https://b23.tv/EznL2J9,湖南
13,elf00213,请问这两个课程差在哪边？感觉都是入门课程呀，怎入门课程有两门  《AI for everyone》给所有人的AI课 《面向每个人的生成式AI》Generative AI for Everyone,中国台湾
14,橘子2048,"第三节，相关术语：AI包括机器学习还有其他的工具，机器学习包括人工神经网络/深度学习、还有其他的工具。机器学习是一个软件系统，很多人可以输入A,然后得到B;数据科学是通过收集数据，对数据进行分析，给特定的人看，特定的人通过看这些数据，云数据决策；深度学习和神经网络都是通过用户输入得A,通过对输入数据数据进行分析，得到B得分析过程用到的函数算法。",江苏
15,小石头的芯语芯愿,11:45，吴恩达大佬把AI Transformation误念成了AI Transmission，连带字幕和翻译都错了[笑哭],上海
16,GPT中英字幕课程资源,https://b23.tv/vbDa4mn,江苏
17,GPT中英字幕课程资源,PPT https://m.bilibili.com/opus/925312491606507522 https://github.com/rmarquis/coursera-ai-for-everyone,江苏
18,林椰壳,工作以后越来越意识到学好英语的重要性，语言真的是世界之窗[OK],上海
19,小石头的芯语芯愿,narrow和general翻译为“弱”和“强”就不合适，不如“专用”和“泛用”,上海
20,GPT中英字幕课程资源,链接：https://pan.baidu.com/s/1wajkoYkKurkQBI2MnttTMg?pwd=2cjt  提取码：2cjt  --来自百度网盘超级会员V3的分享,江苏
21,Mr_answer,本周学习让我感受最深的 AI 观点是：AI 并非 “独立替代者”，而是 “人类能力的放大器” ！ 以前总觉得 AI 的发展会让很多工作被取代，这周深入了解后才发现，AI 的核心价值在于帮我们跳出重复、低效的事务 —— 比如快速筛选海量信息、完成数据整理、甚至初步搭建内容框架，而人类的创意、共情力、批判性思考这些 “软能力”，依然是 AI 难以企及的核心。 就像学习 AI 相关知识时，AI 能帮我们快速梳理技术脉络、解答基础疑问，但真正理解 AI 的应用边界、思考它对社会的影响，还是需要自己主动沉淀和思辨。这种 “人机协作、各取所长” 的模式，让我对 AI 的未来少了焦虑，多了对 “如何更好利用 AI 提升自我” 的期待～,四川
22,____-hello-____,在这一节视频里，吴老师从销售，生产环节，以及招聘环节，还有农业方面举例说明数据科学和机器学习的不同的功能？ 科学方面主要的功能是收集数据，数据，然后给出一...,浙江
23,休闲鞋2020,好好学习,Unknown IP
24,生研博苑,大家好，我想请问一下，我是一个ai小白，了解到deepseek的出现，我想学习ai的系统知识，后续该怎么学呀,浙江
25,夏色_,后面的插画都好好玩，都是不一样的,福建
26,努力养生的香芋派,很好的学习内容，感谢搬运和翻译，给up三连！[打call],江苏
27,苹果小用户,怎么字幕变了，我觉得还原来的字幕形式好哎,江苏
28,海豚世界123,刚看了两三个视频，我感觉作为零基础入门者并且英语不很好的情况下，纯英文的还是有些吃力地，既要注意字幕还要记概念知识，有没有中文的神经网络、AI等零基础视频呀，求推荐！！！,河南
29,雪梨呦呦,为啥被剪辑掉了部分啊，比如第2课正式的有8分多钟，这边只有6分钟多,菲律宾
30,食葫芦的葫芦娃,感谢搬运，感谢翻译,广东
31,卷发小狮子,"听这门课还得熟悉python,卷积神经网络和一些高数知识，好高的门槛",河南
32,你的声音辣椒,上完啦！合影留念[星星眼],浙江
33,戈戈巫啦啦,大模型进展：关于视频里说不能识别的图片，chatgpt40如是回答“这是一张交通标志的图片，其中包含一个带有“STOP”字样的红色八角形停车标志。然而，停车标志的背景被修改过，插入了几张瓶子的图片，可能是饮料瓶。这样的修改通常在艺术或创意表达中见到。”,广东
34,炼丹侠,模型推理训练还是得GPU，我就是租了个云服务器效率非常快，可以去炼丹侠薅个A100试试,北京
35,凉面怎样会好吃,观前投币,浙江
36,萤火照夜归,performance vs data,江苏
37,Echoes_o,感慨，这么多年过去了，再看吴恩达教授讲的ai的发展脉络跟应用，实实在在的沿着这几个路径发展壮大！,浙江
38,小树藤呦吼吼,看完稀里糊涂，没有太多收获，可能是零基础看这些视频是不太适合,广东
