region,user_engagement_avg_score,avg_video_score,avg_comment_score,user_count
宁夏回族自治区,63.89,71.23,50.0,2
贵州省,62.69,69.17,50.0,15
天津市,62.14,67.83,51.05,19
湖南省,61.02,65.42,52.5,60
甘肃省,60.83,65.32,52.5,4
河南省,60.67,65.44,51.4,50
内蒙古自治区,60.62,65.27,52.0,10
广东省,60.6,65.22,51.98,162
吉林省,60.54,64.07,53.21,14
上海市,60.23,64.76,51.45,76
福建省,60.14,64.92,51.25,28
四川省,59.84,64.85,50.62,56
青海省,59.83,63.31,50.0,2
海南省,59.72,64.95,50.0,12
新疆维吾尔自治区,59.53,63.31,52.5,4
山东省,58.89,61.84,52.86,56
北京市,58.61,61.73,52.69,108
河北省,58.47,62.46,50.71,28
辽宁省,58.23,62.49,50.32,31
广西壮族自治区,58.11,61.58,51.3,27
山西省,58.0,62.1,50.0,13
江苏省,57.94,59.7,54.38,81
浙江省,57.91,60.58,52.81,89
西藏自治区,57.89,62.14,50,1
江西省,57.66,61.53,50.24,21
陕西省,57.59,61.06,50.9,39
重庆市,57.43,61.01,50.78,32
云南省,57.35,60.82,50.0,11
湖北省,57.03,60.02,51.48,27
安徽省,56.09,59.44,50.0,40
台湾省,55.32,54.14,52.5,4
黑龙江省,54.39,56.46,50.0,9
香港特别行政区,54.36,55.63,50.0,5
