bv_id,user_id,user_ip,user_engagement_score,video_total_score,comment_total_score
BV1gQ4y1E7iy,叶子の屋子,广东,44.8,44.7,45
BV1gQ4y1E7iy,会AI的哈利波特,湖南,46.56,44.7,50
BV1gQ4y1E7iy,James大梦,上海,46.56,44.7,50
BV1gQ4y1E7iy,西北老汉棒棒糖,广东,46.56,44.7,50
BV1gQ4y1E7iy,柒夏995,北京,46.56,44.7,50
BV1gQ4y1E7iy,凌岐峰,海南,46.56,44.7,50
BV1gQ4y1E7iy,如月瑞雨,河北,50.06,44.7,60
BV1gQ4y1E7iy,阿咩能猫,广东,46.56,44.7,50
BV1gQ4y1E7iy,星空-随梦逐流,辽宁,46.56,44.7,50
BV1gQ4y1E7iy,Bianwy025,江苏,46.56,44.7,50
BV1gQ4y1E7iy,小猪_123,湖北,46.56,44.7,50
BV1gQ4y1E7iy,闪电蝗虫,辽宁,46.56,44.7,50
BV1gQ4y1E7iy,Jack_palace,广西,46.56,44.7,50
BV1gQ4y1E7iy,小王子在攒钱,湖北,46.56,44.7,50
BV1gQ4y1E7iy,bili_3546376279427455,山东,46.56,44.7,50
BV1gQ4y1E7iy,bili_73079774986,山东,46.56,44.7,50
BV1gQ4y1E7iy,週沫,四川,46.56,44.7,50
BV1gQ4y1E7iy,汪汪队_www,陕西,46.56,44.7,50
BV1gQ4y1E7iy,我准备了炸肉条,中国香港,46.56,44.7,50
BV1gQ4y1E7iy,南风入弦____,北京,46.56,44.7,50
BV1gQ4y1E7iy,patrickhsia,中国台湾,46.56,44.7,50
BV1gQ4y1E7iy,16_HIGH,广东,46.56,44.7,50
BV1gQ4y1E7iy,格子间421,安徽,46.56,44.7,50
BV1gQ4y1E7iy,Xixizi西溪子,陕西,46.56,44.7,50
BV1gQ4y1E7iy,露禾的念想,重庆,46.56,44.7,50
BV1gQ4y1E7iy,wdb800915,安徽,46.56,44.7,50
BV1gQ4y1E7iy,破舟鬼,北京,46.56,44.7,50
BV1gQ4y1E7iy,码上_家族,广东,46.56,44.7,50
BV1gQ4y1E7iy,二林0xcoolx,中国台湾,46.56,44.7,50
BV1gQ4y1E7iy,飞白12,河北,46.56,44.7,50
BV1gQ4y1E7iy,hanxinyan1,福建,46.56,44.7,50
BV1gQ4y1E7iy,两年的假期,重庆,46.56,44.7,50
BV1gQ4y1E7iy,伽百力,山西,46.56,44.7,50
BV1gQ4y1E7iy,霜_雪明,河南,46.56,44.7,50
BV1gQ4y1E7iy,Max讷讷,北京,46.56,44.7,50
BV1gQ4y1E7iy,黄昏的眼睛,安徽,46.56,44.7,50
BV1gQ4y1E7iy,墨漾平芜,江西,46.56,44.7,50
BV1gQ4y1E7iy,橘子屿猫丶,上海,46.56,44.7,50
BV1gQ4y1E7iy,langganpan,山东,46.56,44.7,50
BV1gQ4y1E7iy,michael_linux,河南,46.56,44.7,50
BV1gQ4y1E7iy,Stevenfx,上海,46.56,44.7,50
BV1gQ4y1E7iy,橘子的奶酪,四川,46.56,44.7,50
BV1gQ4y1E7iy,南王在此,江苏,46.56,44.7,50
BV1gQ4y1E7iy,赫呵123,内蒙古,46.56,44.7,50
BV1gQ4y1E7iy,伊斯利,辽宁,46.56,44.7,50
BV1gQ4y1E7iy,三岁杠杠,广东,46.56,44.7,50
BV1gQ4y1E7iy,星光璀璨不负你,河南,46.56,44.7,50
BV1gQ4y1E7iy,bili_71433566466,江苏,46.56,44.7,50
BV1gQ4y1E7iy,bili_59406334707,广西,46.56,44.7,50
BV1gQ4y1E7iy,论名字的正确取法,北京,46.56,44.7,50
BV1CZaMztETy,方程芒果,天津,45.96,43.79,50
BV1CZaMztETy,特洛伊雪,浙江,45.96,43.79,50
BV1CZaMztETy,暮紫白,云南,45.96,43.79,50
BV1CZaMztETy,头头超帅,吉林,45.96,43.79,50
BV1CZaMztETy,越战越song,重庆,45.96,43.79,50
